"gene","mean_hcc","mean_cirrhosis","mean_difference","welch_p","plate_adjusted_beta","plate_adjusted_se","plate_adjusted_p","welch_q_union","plate_adjusted_q_union"
"ABCB11",6.18555073332167,6.07410220309532,0.111448530226357,0.229060498681701,0.118712166904069,0.101406779671176,0.242454860247822,0.270067712731408,0.285343987150866
"ABCC2",9.55936123702112,9.49462011774459,0.0647411192765315,0.413227825928471,0.0632717770108737,0.0841506766999515,0.452573859280952,0.463725546480831,0.498442831505372
"ABCC3",7.85976448960354,7.88351390337103,-0.0237494137674883,0.728438748592614,-0.0188247147196995,0.0753004803502068,0.802723480546676,0.757483355793277,0.832075849469687
"ABRAXAS2",7.12795909839452,6.88104470391727,0.246914394477253,5.09887051825315e-12,0.245321445738369,0.0360765232355307,3.95380831185202e-11,1.31401722446682e-11,1.01491457453839e-10
"ACTR8",5.6761981109904,5.56057796817251,0.115620142817895,2.86310192992374e-05,0.117686711881248,0.0278957619739087,3.05890700208066e-05,5.11436289948021e-05,5.58657525309969e-05
"ADRM1",8.50321653181039,8.12255054426295,0.380665987547442,8.4750928719651e-22,0.381415716684277,0.0347830929512419,1.46158226103333e-24,3.97536730397212e-21,8.50849673387258e-24
"AFG2A",4.10215341724853,3.99214675567898,0.110006661569552,3.43231163757049e-11,0.107313315637748,0.0167032581010812,3.86411888965543e-10,8.57420378427571e-11,9.33113154094571e-10
"AFG2B",5.44680717165942,5.20492596009093,0.241881211568482,4.66184605222464e-12,0.24558981138878,0.0360124042575169,3.50158950302659e-11,1.20616016906765e-11,9.02385911451913e-11
"AHCTF1",7.55725227329172,6.94945396476747,0.607798308524251,1.15792349782993e-32,0.609452498124889,0.049480340438632,1.15736664350527e-29,1.06333256420439e-31,1.03370281036361e-28
"AHR",9.64260083525665,9.58642207253208,0.0561787627245689,0.402932905765388,0.0672154454327556,0.0688808509373953,0.329759145009578,0.452952163032816,0.376537587646663
"AHRR",4.11630141430655,4.11803146594079,-0.00173005163424111,0.939839211327185,-0.00227021932779146,0.0245374420228258,0.926332038749307,0.945640687940316,0.936385254673718
"AIFM2",6.66304120612288,5.64027594193562,1.02276526418726,1.6943001391516e-47,1.01848285288657,0.0663743993061948,6.87091729586974e-42,5.81412468803602e-46,1.84612087566912e-40
"AIRIM",5.31243903279193,4.91039591418392,0.402043118608004,1.79340526357515e-20,0.41759832308194,0.0408425009772951,6.81138707508049e-22,7.69276468323024e-20,3.49686958500195e-21
"ANAPC10",6.92048754688376,7.03472601467357,-0.114238467789805,0.040334123047516,-0.105170234326895,0.0582271076685561,0.0716587029613412,0.0534509110304481,0.0917907157775923
"ANAPC11",10.3594604497239,9.62733099974984,0.732129449974064,8.65305150266202e-29,0.744076211036582,0.0647838392552189,1.71943960615617e-26,5.64178957973564e-28,1.16778606584773e-25
"ANAPC13",8.71127625571279,8.9055439497639,-0.194267694051103,0.00334629962635282,-0.176559377517467,0.0689256000944454,0.0107954193414366,0.00506215163893745,0.0154017798919402
"ANAPC15",5.68576448690241,5.50946620071315,0.176298286189267,2.86366709818193e-06,0.173402210338269,0.0374431451987624,4.96729270643396e-06,5.57346551646154e-06,9.63891322796115e-06
"ANAPC16",8.47125268842356,8.67061965801247,-0.19936696958891,3.2869762965779e-08,-0.200585462565753,0.0378301373072719,1.92214289831017e-07,7.09638591181719e-08,4.00395261884419e-07
"ANAPC2",4.08763521246912,4.10036785432728,-0.0127326418581637,0.503508829620448,-0.0185284074989932,0.0183920171403855,0.314361255469936,0.54897618212798,0.360851300292955
"ANAPC4",8.5432366535058,8.34506564957639,0.198171003929405,1.56458679610186e-05,0.18891624184193,0.0448476782025371,3.14306017807138e-05,2.87355096072793e-05,5.70828756574523e-05
"ANAPC5",9.3175116878877,9.12567687752839,0.191834810359314,3.46685392072772e-11,0.189919030611268,0.0299875554947453,6.63321931851454e-10,8.59463405442766e-11,1.5900216895851e-09
"ANAPC7",5.89765285045643,5.389705638561,0.507947211895427,3.52082927452833e-36,0.51199205651572,0.0391401457254709,1.16778188843927e-32,4.25107534628236e-35,1.40998850233778e-31
"ANKLE1",3.96942777474812,3.97463420042061,-0.00520642567249219,0.704988747819548,-0.00980497537417134,0.0132587992931882,0.460045188538758,0.739307283999735,0.505816969523221
"ANKLE2",5.95661196737265,5.93151096590848,0.0251010014641695,0.480486615028783,0.0305111507158281,0.0362688560548057,0.40072510130406,0.529184582768187,0.448152257376067
"ANKRD53",3.74352262983451,3.78819609233333,-0.0446734624988201,0.0256121807349545,-0.0446552871965605,0.0188416352423511,0.0182735712485697,0.0350822307546015,0.0253497201150371
"ANLN",4.56035640599077,3.85461691090882,0.705739495081951,6.41195062803295e-33,0.716359835046323,0.0583674831188887,1.70989744561753e-29,6.05882870938766e-32,1.50655828992248e-28
"ANXA11",8.87137584299751,8.67533991332151,0.196035929675997,0.000337528531265395,0.197352740032438,0.0501949833331438,9.98371019680456e-05,0.00055572879390161,0.000173583441288442
"ARF6",8.97339543721566,9.06274291662104,-0.0893474794053777,0.0290780205498114,-0.0885301122780649,0.0404209930768595,0.029102706326429,0.0394155288949627,0.0394489906961159
"ARHGEF2",3.85123785538719,3.87717749564865,-0.0259396402614591,0.104454149621914,-0.028337650688948,0.015447074428499,0.0673434429289065,0.129229801809276,0.0864329228142658
"ARL3",4.06447518226923,4.01182882059395,0.0526463616752828,0.0114483969849454,0.0496113661085122,0.0207660590190545,0.0173672884035124,0.0161916590763219,0.0241954530749789
