"family","program","gene","detected"
"primary_PRJEB54571_GO_programs","cell_division","PDCD6IP",TRUE
"primary_PRJEB54571_GO_programs","cell_division","SMC4",TRUE
"primary_PRJEB54571_GO_programs","cell_division","CDK2",TRUE
"primary_PRJEB54571_GO_programs","cell_division","CDK3",FALSE
"primary_PRJEB54571_GO_programs","cell_division","CDK4",TRUE
"primary_PRJEB54571_GO_programs","cell_division","CDK5",TRUE
"primary_PRJEB54571_GO_programs","cell_division","CDK6",TRUE
"primary_PRJEB54571_GO_programs","cell_division","CDK7",TRUE
"primary_PRJEB54571_GO_programs","cell_division","STAG1",TRUE
"primary_PRJEB54571_GO_programs","cell_division","MAEA",TRUE
"primary_PRJEB54571_GO_programs","cell_division","KATNB1",TRUE
"primary_PRJEB54571_GO_programs","cell_division","CCNO",TRUE
"primary_PRJEB54571_GO_programs","cell_division","TUBA1B",TRUE
"primary_PRJEB54571_GO_programs","cell_division","SYCP2",TRUE
"primary_PRJEB54571_GO_programs","cell_division","ANAPC10",TRUE
"primary_PRJEB54571_GO_programs","cell_division","NDC80",TRUE
"primary_PRJEB54571_GO_programs","cell_division","MAD2L2",TRUE
"primary_PRJEB54571_GO_programs","cell_division","TACC3",TRUE
"primary_PRJEB54571_GO_programs","cell_division","CIB1",TRUE
"primary_PRJEB54571_GO_programs","cell_division","ZNRD2",TRUE
"primary_PRJEB54571_GO_programs","cell_division","CENPA",TRUE
"primary_PRJEB54571_GO_programs","cell_division","SMC2",TRUE
"primary_PRJEB54571_GO_programs","cell_division","CENPC",TRUE
"primary_PRJEB54571_GO_programs","cell_division","USP16",TRUE
"primary_PRJEB54571_GO_programs","cell_division","SPAG5",TRUE
"primary_PRJEB54571_GO_programs","cell_division","CENPE",TRUE
"primary_PRJEB54571_GO_programs","cell_division","CENPF",TRUE
"primary_PRJEB54571_GO_programs","cell_division","RGS14",TRUE
"primary_PRJEB54571_GO_programs","cell_division","CETN1",TRUE
"primary_PRJEB54571_GO_programs","cell_division","CETN2",TRUE
"primary_PRJEB54571_GO_programs","cell_division","CETN3",TRUE
"primary_PRJEB54571_GO_programs","cell_division","USP39",TRUE
"primary_PRJEB54571_GO_programs","cell_division","NUDC",TRUE
