"sample_id","title","group","processing_plate","score","program","family"
"GSM1559605","cirrhosis [B108_placa96-3_F01]","Cirrhosis","plate96_3",-0.144862933921743,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559606","hepatocellular carcinoma [B109_placa96-3_F02]","HCC","plate96_3",0.916190993500946,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559607","cirrhosis [B110_placa96-3_F03]","Cirrhosis","plate96_3",-0.214252438319217,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559608","hepatocellular carcinoma [B111_placa96-3_F04]","HCC","plate96_3",0.0501581156136667,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559609","hepatocellular carcinoma [B131_plate4_H06]","HCC","plate4",0.0718128535557546,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559610","cirrhosis [B134_placa96-3_F05]","Cirrhosis","plate96_3",-0.201307951339369,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559611","hepatocellular carcinoma [B135_placa96-3_F06]","HCC","plate96_3",0.0386272385819826,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559612","cirrhosis [B146_placa96-3_F07]","Cirrhosis","plate96_3",-0.276138186470497,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559613","hepatocellular carcinoma [B147_placa96-3_F08]","HCC","plate96_3",0.316609145723175,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559614","cirrhosis [B150_placa96-3_F09]","Cirrhosis","plate96_3",-0.31193570914413,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559615","hepatocellular carcinoma [B151_placa96-3_F10]","HCC","plate96_3",0.0402766604145102,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559616","cirrhosis [B152_placa96-3_F11]","Cirrhosis","plate96_3",-0.204897606341982,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559617","hepatocellular carcinoma [B153_placa96-3_F12]","HCC","plate96_3",0.108346425953852,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559618","cirrhosis [B156_placa96-3_G01]","Cirrhosis","plate96_3",-0.281525662129677,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559619","hepatocellular carcinoma [B157_placa96-3_G02]","HCC","plate96_3",0.760980899374196,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559620","cirrhosis [B158_placa96-3_G03]","Cirrhosis","plate96_3",-0.253166470796916,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559621","hepatocellular carcinoma [B159_placa96-3_G04]","HCC","plate96_3",-0.0346509502533282,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559622","cirrhosis [B160_placa96-3_G05]","Cirrhosis","plate96_3",-0.227589378776825,"cell_division","primary_PRJEB54571_GO_programs"
"GSM1559623","hepatocellular carcinoma [B161_placa96-3_G06]","HCC","plate96_3",-0.00648955399988756,"cell_division","primary_PRJEB54571_GO_programs"
