feature_index,metabolite,method,inchikey,hmdb,kegg,missing_fraction,high_coverage,analysis,normalization,converged,optimizer,beta_time,beta_group,beta_time_group,se_group,p_group,p_time_group,patient_variance,residual_variance,log_likelihood,error,q_group,q_time_group
299,N-acetylglycine,Method 1,OKJIRPAQVSHGFK-UHFFFAOYSA-N,HMDB0000532,,0.0,True,all_pre_hcc,provided_area,True,lbfgs,0.0061830950952001,-0.6821115707503338,-0.0102651682237047,0.1641396286992413,3.24323232118306e-05,0.0396609658995883,0.6949508966364261,0.1516014260662617,-514.5285094945284,,0.033405292908185516,0.4688000905322482
694,taurohyocholate*,Method 3,XSOLDPYUICCHJX-QZWOQUDZSA-N,HMDB0011637,C15516,0.231833910034602,False,all_pre_hcc,provided_area,True,lbfgs,-0.0226653396594724,2.5255463667351035,0.0513415799474512,0.65735536234838,0.0001220456229455,0.0318177170358833,10.277499283284872,3.5601853847017657,-1386.6202707454163,,0.0628534958169325,0.4350874456788234
687,triamterene,Method 1,FNYLWPVRPXGIIP-UHFFFAOYSA-N,HMDB0001940,D00386,0.9982698961937716,False,all_pre_hcc,provided_area,True,lbfgs,3.0993397724711285e-17,0.027040586639373,8.017753582021878e-14,0.0074631042685429,0.0002909403532375,0.9999894383423886,0.0016833449940659,2.1331370427251645e-13,5237.006158479913,,0.08324974302758237,0.9999989883008276
1133,ezetimibe glucuronide*,Method 3,UOFYCFMTERCNEW-ADEYADIWSA-N,,,0.986159169550173,False,all_pre_hcc,provided_area,True,lbfgs,-1.0272504737575961e-16,0.1820496924872461,0.0021494111106517,0.0518379408168698,0.0004449144656669,0.0337377272385054,0.0763970665535855,0.006065924902679,321.4328115716023,,0.08324974302758237,0.4390952019553782
986,stearoylcholine*,Method 2,WYVHUXGFCVDOEA-UHFFFAOYSA-N,HMDB0240648,,0.0173010380622837,True,all_pre_hcc,provided_area,True,lbfgs,0.0015265487949015,-0.994724352941466,-0.0226240189950165,0.2877284891609912,0.0005458940810286,0.0498014552727744,1.8476877985425788,0.8419492020124172,-947.4668406717084,,0.08324974302758237,0.5028970483427219
210,taurocholate,Method 3,WBWWGRHZICKQGZ-HGVCTONRSA-N,HMDB0000036,C05122,0.0034602076124567,True,all_pre_hcc,provided_area,True,lbfgs,-0.0250722347991664,1.740783674118836,0.0448320302247464,0.5048187652252688,0.0005640562231889,0.0041355138371589,6.529787796641203,1.4902801708749849,-1171.006625385653,,0.08324974302758237,0.1503452325081814
71,methionine,Method 1,FFEARJCKVFRZRR-UHFFFAOYSA-N,HMDB0000696,C00073,0.0,True,all_pre_hcc,provided_area,True,lbfgs,-0.0048268762643392,0.3275225244047982,0.0068015479899165,0.0983472460155071,0.0008676294500178,0.0452902831165209,0.2364238165177708,0.0713477723509125,-268.31793761533254,,0.08324974302758237,0.4990060030315879
376,gamma-glutamyltryptophan,Method 3,CATMPQFFVNKDEY-AAEUAGOBSA-N,HMDB0029160,,0.0086505190311418,True,all_pre_hcc,provided_area,True,lbfgs,-0.0055207499469756,0.5271650307437789,0.0086093469300557,0.1603409722205158,0.0010098253089705,0.1099368114694999,0.6370325901167532,0.1784683520467244,-539.6858916353676,,0.08324974302758237,0.6500146004657739
930,dihomo-linolenoyl-choline,Method 2,FRBBZHFNTVMXIH-OKLKQMLOSA-N,HMDB0240646,,0.0622837370242214,True,all_pre_hcc,provided_area,True,lbfgs,0.001417242805856,-1.0128020908823758,-0.0146168818837094,0.3082001924173526,0.0010155517535369,0.2308876533906485,2.1385674214312567,0.941412503304938,-982.5055235782174,,0.08324974302758237,0.7969835758472709
209,taurochenodeoxycholate,Method 3,BHTRKEVKTKCXOH-BJLOMENOSA-N,HMDB0000951,C05465,0.0,True,all_pre_hcc,provided_area,True,lbfgs,-0.0252165031809493,1.586207945230902,0.0437726168866329,0.4841916237893955,0.0010529149771449,0.0041422098284954,5.966615523032379,1.42321040127763,-1153.7893209678757,,0.08324974302758237,0.1503452325081814
913,palmitoylcholine,Method 2,UFQZDKMTMXCDBP-UHFFFAOYSA-N,HMDB0240592,,0.0017301038062283,True,all_pre_hcc,provided_area,True,lbfgs,0.0028000441650627,-0.8613292456986992,-0.0163622214108949,0.265134362756972,0.001159532891017,0.1225753268722813,1.5723635380289782,0.7103113237131276,-899.0246227649786,,0.08324974302758237,0.6692838749246058
410,N1-methylinosine,Method 1,WJNGQIYEQLPJMN-UHFFFAOYSA-N,HMDB0002721,,0.0086505190311418,True,all_pre_hcc,provided_area,True,lbfgs,-0.0003258883460524,-0.5894411070037696,0.0017891273205943,0.1818708594830199,0.0011911657973872,0.7894765295866055,0.780474083185164,0.2804138394194952,-649.1318769595568,,0.08324974302758237,0.9710595005057202
927,arachidonoylcholine,Method 2,XUWOVXDQNYUPNL-WYTUUNCASA-N,HMDB0240583,,0.0173010380622837,True,all_pre_hcc,provided_area,True,lbfgs,0.0045596641756797,-0.9758998087883396,-0.0190615331520261,0.3013435550256039,0.0012016183004404,0.088631470853691,2.133782014913115,0.7823540472699292,-943.9691465641458,,0.08324974302758237,0.6203324878305547
987,linoleoylcholine*,Method 2,GVYIAXNFCSAJSK-OKLKQMLOSA-N,HMDB0013213,,0.0034602076124567,True,all_pre_hcc,provided_area,True,lbfgs,0.0028382589565729,-0.8926476920619129,-0.0176392779869911,0.2759085354879609,0.0012151373706718,0.1039836652395892,1.7232044260145014,0.7421274641985702,-915.529453059988,,0.08324974302758237,0.6413363784238136
