feature_index,metabolite,method,inchikey,hmdb,kegg,missing_fraction,high_coverage,analysis,normalization,converged,beta_time,beta_group,beta_time_group,se_group_robust,p_group,p_time_group,working_correlation,error,q_group,q_time_group
299,N-acetylglycine,Method 1,OKJIRPAQVSHGFK-UHFFFAOYSA-N,HMDB0000532,,0.0,True,all_pre_hcc,sample_median_scaled,True,0.007209676329920161,-0.6506716000291262,-0.009479251903103433,0.1458773702549084,8.180635850317414e-06,0.059410568055458766,0.6909774596587904,,0.006479778692905676,0.7340158078639959
376,gamma-glutamyltryptophan,Method 3,CATMPQFFVNKDEY-AAEUAGOBSA-N,HMDB0029160,,0.00865051903114187,True,all_pre_hcc,sample_median_scaled,True,-0.00553728518527442,0.5571801478700313,0.009618433712798668,0.12745602559703814,1.2336865791857333e-05,0.005474966310397654,0.7400935685869281,,0.006479778692905676,0.34437538092401243
694,taurohyocholate*,Method 3,XSOLDPYUICCHJX-QZWOQUDZSA-N,HMDB0011637,C15516,0.23183391003460208,False,all_pre_hcc,sample_median_scaled,True,-0.02400793339249137,2.6649233498200653,0.05518540284857408,0.6165755098504447,1.545257239961608e-05,0.02568199204019954,0.6936863629695257,,0.006479778692905676,0.5870510593110491
255,2-arachidonoylglycerol (20:4),Method 3,RCRCTBLIHCHWDZ-DOFZRALJSA-N,HMDB0004666,C13856,0.42214532871972316,False,all_pre_hcc,sample_median_scaled,True,0.014711830210451176,-1.6155114426512662,-0.024043794862253488,0.38771316842295567,3.089464697873643e-05,0.041105827483959606,0.45185897533226216,,0.009716366474812608,0.6835859964403045
443,hexanoylglycine,Method 3,UPCKIPHSXMXJOX-UHFFFAOYSA-N,HMDB0000701,,0.5795847750865052,False,all_pre_hcc,sample_median_scaled,True,0.012541970350603787,-0.7963678035504002,-0.01973031598259495,0.20258560280098684,8.458667338473622e-05,0.04716528078192154,0.532845820568328,,0.02128200702359963,0.6980461555724388
156,gamma-glutamyltyrosine,Method 3,VVLXCWVSSLFQDS-QWRGUYRKSA-N,HMDB0011741,,0.0,True,all_pre_hcc,sample_median_scaled,True,-0.006230628830748836,0.5257282072359518,0.0071854875769172466,0.13731038355741573,0.00012879165543417054,0.08477276954889948,0.7265938450954043,,0.02581656287762422,0.7340158078639959
142,picolinate,Method 1,SIOXPEMLGUPBBT-UHFFFAOYSA-N,HMDB0002243,C10164,0.0017301038062283738,True,all_pre_hcc,sample_median_scaled,True,-0.0034046354871913975,0.44912512340455185,-0.0011183156202495385,0.11952621122710604,0.00017158848227324608,0.8787928853243359,0.5244989724815892,,0.02581656287762422,0.9633991866838792
210,taurocholate,Method 3,WBWWGRHZICKQGZ-HGVCTONRSA-N,HMDB0000036,C05122,0.0034602076124567475,True,all_pre_hcc,sample_median_scaled,True,-0.028231272708769017,1.7456272310037428,0.04799164147796666,0.4668968936905858,0.00018491158001271142,0.0013377702514496376,0.6746076449887245,,0.02581656287762422,0.15434503015731735
548,"5alpha-androstan-3alpha,17beta-diol monosulfate (1)",Method 3,LERFMBCTNMFXCT-ILBJSTGGSA-N,,,0.7352941176470589,False,all_pre_hcc,sample_median_scaled,True,0.009273339020530706,-0.9534959214567237,-0.017664014713176537,0.25626077833803856,0.0001985901634165244,0.01001442872719651,0.7707853522318525,,0.02581656287762422,0.5189044350482741
537,taurocholenate sulfate*,Method 3,OEDITLKCLMKBOM-UHFFFAOYSA-N,,,0.0,True,all_pre_hcc,sample_median_scaled,True,-0.012152178425423371,0.865791754081533,0.008683331187742657,0.23320967084063482,0.0002052191007760272,0.3897148036237955,0.682546618278163,,0.02581656287762422,0.8674430787831605
