feature_index,metabolite,method,inchikey,hmdb,kegg,missing_fraction,high_coverage,analysis,normalization,converged,beta_time,beta_group,beta_time_group,se_group_robust,p_group,p_time_group,working_correlation,error,q_group,q_time_group
548,"5alpha-androstan-3alpha,17beta-diol monosulfate (1)",Method 3,LERFMBCTNMFXCT-ILBJSTGGSA-N,,,0.7255639097744361,False,within_12m,provided_area,True,0.009105603057837006,-1.3029761230530517,-0.03969831985088212,0.1959513350649733,2.941135913723924e-11,0.1116221997446026,0.8759302091753703,,3.697007843550973e-08,0.7706084016992897
938,4-acetamidobenzoate,Method 3,QCXJEYYXVJIFCE-UHFFFAOYSA-N,,D03836,0.8327067669172933,False,within_12m,provided_area,True,0.0005083587566804668,-0.6959674800532333,-0.14130935983562776,0.16397368361500061,2.1919352186176233e-05,0.03971923402110867,0.24071037257918576,,0.013776312849011763,0.6980329455209855
694,taurohyocholate*,Method 3,XSOLDPYUICCHJX-QZWOQUDZSA-N,HMDB0011637,C15516,0.23684210526315788,False,within_12m,provided_area,True,-0.022633543327220174,2.957032820864053,-0.012122096962047196,0.7354648692578822,5.8042472252490766e-05,0.7388597201941309,0.7435598303300074,,0.02431979587379363,0.9381378878278572
1212,metabolonic lactone sulfate,Method 3,IJIWKJRHDDIJKI-MVCMDAJNSA-N,,,0.4567669172932331,False,within_12m,provided_area,True,0.012279914793053471,-1.4207792973826878,-0.042117882461127666,0.36010274701220546,7.963925401100898e-05,0.40065931984236947,0.7543264719315409,,0.02502663557295957,0.8459619291484427
947,ferulylglycine (2),Method 3,CLGNQAIRBLDHIN-HWKANZROSA-N,,,0.6654135338345865,False,within_12m,provided_area,True,0.008969937365979844,-0.8498605071637823,-0.040039480447665345,0.21922313036233257,0.00010588635492312637,0.18245955960558558,0.6973706976051945,,0.02661982962767397,0.7818751471289737
222,3-phenylpropionate (hydrocinnamate),Method 3,XMIIGOLPHOKFCH-UHFFFAOYSA-N,HMDB0000764,C05629,0.2161654135338346,False,within_12m,provided_area,True,0.002235560253092253,-2.157586161467659,-0.024798245679489784,0.5630558626142016,0.00012714604069784575,0.7985704441658428,0.6637594911965796,,0.026637095526198685,0.9471474925108294
255,2-arachidonoylglycerol (20:4),Method 3,RCRCTBLIHCHWDZ-DOFZRALJSA-N,HMDB0004666,C13856,0.40225563909774437,False,within_12m,provided_area,True,0.01661858077761935,-2.0695866059307657,-0.12559464146699628,0.552022238526649,0.00017747027442076706,0.1829080938872607,0.4769750930465244,,0.031868590706700596,0.7818751471289737
299,N-acetylglycine,Method 1,OKJIRPAQVSHGFK-UHFFFAOYSA-N,HMDB0000532,,0.0,True,within_12m,provided_area,True,0.0069074964012408695,-0.7492487267461445,-0.019272352997749993,0.2019924688041508,0.00020784092854071444,0.21286879897143252,0.5787961900453236,,0.03265700589695976,0.7829951087602092
537,taurocholenate sulfate*,Method 3,OEDITLKCLMKBOM-UHFFFAOYSA-N,,,0.0,True,within_12m,provided_area,True,-0.01170050585131649,1.1373923415417648,0.0009105016711780101,0.31935492596786574,0.0003686991250484283,0.9492559104707564,0.8138105891565822,,0.051494977798430486,0.9918659014644562
440,1-palmitoleoyl-GPC (16:1)*,Method 2,LFUDDCMNKWEORN-KHPPLWFESA-N,HMDB0010383,,0.0,True,within_12m,provided_area,True,0.0011601234179861133,-0.5616959347482171,-0.0344037115565118,0.16781532503201374,0.0008165953370427992,0.08044651276329749,0.7936364927408628,,0.09612264618295777,0.7522236655268406
1174,losartan,Method 3,PSIFNNKUMBGKDQ-UHFFFAOYSA-N,HMDB0014816,"C07072,D08146",0.9624060150375939,False,within_12m,provided_area,True,0.01214075336749967,-0.5157381761686965,-0.13710881807461497,0.15446442115332593,0.0008411687414578644,0.20388946885841885,0.18258683329203412,,0.09612264618295777,0.7829951087602092
956,palmitoleoyl-linoleoyl-glycerol (16:1/18:2) [1]*,Method 2,BHGPPCIWDXQOMA-HZFIRFLSSA-N,HMDB0007132,,0.4849624060150376,False,within_12m,provided_area,True,0.010987584379565577,-1.795302610920636,-0.02969831151538783,0.5584218274752223,0.0013046369924696805,0.5221990110147883,0.832466590405369,,0.13666072496119905,0.8927513223270931
975,myristoyl-linoleoyl-glycerol (14:0/18:2) [1]*,Method 2,AMBUOMWGQGABQI-BIXSNLIQSA-N,HMDB0007016,,0.7725563909774437,False,within_12m,provided_area,True,0.011895925698126709,-0.7815411598708807,-0.06556143454105617,0.2539931173003993,0.0020908332093133165,0.1243126606464547,0.5530233464348079,,0.20216748800821838,0.7706084016992897
749,"5alpha-androstan-3alpha,17beta-diol 17-glucuronide",Method 3,ZJYZOWMDMWQJIV-UPDIMMRZSA-N,,,0.6954887218045113,False,within_12m,provided_area,True,0.0050065215601755786,-0.6743935599380766,-0.019007232029991713,0.2208570905514018,0.0022616676169060503,0.022668493070555473,0.9523730702247052,,0.20306544246077896,0.5323091006366589
987,linoleoylcholine*,Method 2,GVYIAXNFCSAJSK-OKLKQMLOSA-N,HMDB0013213,,0.0018796992481203006,True,within_12m,provided_area,True,0.002973656809153612,-1.0321749751408984,-0.0017088676234021675,0.34284438402237905,0.002607128635285612,0.9599299293730664,0.6658997173114268,,0.2059277556848932,0.9922959878469939
209,taurochenodeoxycholate,Method 3,BHTRKEVKTKCXOH-BJLOMENOSA-N,HMDB0000951,C05465,0.0,True,within_12m,provided_area,True,-0.026170735314996103,1.7883289899814505,0.014272589289409904,0.5962342810334689,0.002705359042812369,0.7380698604275775,0.775546162491549,,0.2059277556848932,0.9381378878278572
929,palmitoloelycholine,Method 2,CLIZBTUFRKKPFA-UHFFFAOYSA-N,HMDB0013208,,0.2161654135338346,False,within_12m,provided_area,True,-0.0022977647404661575,-1.1539442944485412,-0.03448329352943461,0.38586733242656246,0.002785021357711364,0.30756025194455394,0.6609004564832537,,0.2059277556848932,0.7850312870147734
270,alprazolam,Method 2,VREFGVBLTWBCJP-UHFFFAOYSA-N,HMDB14548,C06817,0.9492481203007519,False,within_12m,provided_area,True,0.0005327481691397058,-0.24625101507479644,-0.03159071560098431,0.08312358055363722,0.0030518272317123416,0.24108920195174388,0.7289648312375415,,0.2084224625820837,0.7850312870147734
928,docosahexaenoylcholine,Method 2,OKLWSURGMYZXCS-GUTOPQIJSA-N,HMDB0240647,,0.17105263157894737,True,within_12m,provided_area,True,0.004684532487130386,-1.4695794756243319,-0.04210931015939403,0.4983018279161689,0.003186231213751371,0.30287992159725075,0.669010035261207,,0.2084224625820837,0.7850312870147734
453,1-palmitoyl-GPE (16:0),Method 2,YVYMBNSKXOXSKW-HXUWFJFHSA-N,HMDB0011503,,0.0,True,within_12m,provided_area,True,0.0029236317507705433,-0.38041754742867856,-0.017802325927199127,0.13072450152073475,0.0036134695456264735,0.06868973947799657,0.6296346195571693,,0.2084224625820837,0.7522236655268406
1202,3-decenoylcarnitine,Method 2,YMJNFVUJNDWLND-ZHACJKMWSA-N,,,0.4680451127819549,False,within_12m,provided_area,True,-0.001594006201570873,1.295530730435113,0.07718202750125751,0.4469381727232102,0.0037473717209570373,0.1361377409119445,0.8493864539675655,,0.2084224625820837,0.7706084016992897
930,dihomo-linolenoyl-choline,Method 2,FRBBZHFNTVMXIH-OKLKQMLOSA-N,HMDB0240646,,0.05075187969924812,True,within_12m,provided_area,True,0.0014384702205540022,-1.0122050313361466,0.015471650680526836,0.3507897689639789,0.003907883811372135,0.7067086228656877,0.6910660429310702,,0.2084224625820837,0.9365845261627834
360,1-palmitoyl-GPC (16:0),Method 2,ASWBNKHCZGQVJV-UHFFFAOYSA-N,HMDB0010382,C04102,0.0,True,within_12m,provided_area,True,0.0012252947789019822,-0.4106827762500766,-0.010101901994082126,0.1428433186263234,0.004039537312487031,0.25759923812560603,0.7922862980724835,,0.2084224625820837,0.7850312870147734
331,butyrylglycine,Method 3,WPSSBBPLVMTKRN-UHFFFAOYSA-N,HMDB0000808,,0.5601503759398496,False,within_12m,provided_area,True,0.01519133439571701,-1.0616421752550702,-0.040164394945025925,0.3696013795640032,0.004073698686801835,0.4817842818810766,0.5788845941517196,,0.2084224625820837,0.8684654806852873
922,14-HDoHE/17-HDoHE,Method 3,ZNEBXONKCYFJAF-BGKMTWLOSA-N,"HMDB0060044,HMDB0010213",,0.5206766917293233,False,within_12m,provided_area,True,-0.014762903338307017,1.1126012546516584,0.08125786956691468,0.38846262078179133,0.004181773994893821,0.18496911972407637,0.2918033826161282,,0.2084224625820837,0.7818751471289737
376,gamma-glutamyltryptophan,Method 3,CATMPQFFVNKDEY-AAEUAGOBSA-N,HMDB0029160,,0.009398496240601503,True,within_12m,provided_area,True,-0.004437056923242545,0.5453049139231267,-0.005270820972754637,0.19103629684894094,0.004311045367648509,0.7509559218726668,0.8998959189188911,,0.2084224625820837,0.9420674588761898
741,1-linolenoyl-GPC (18:3)*,Method 2,WKQNRCYKYCKESD-YHTMAJSVSA-N,HMDB0010388,C04100,0.0,True,within_12m,provided_area,True,0.001730492564441647,-0.3716981321103458,-0.04784039992010814,0.13301385832484788,0.0051991034216227645,0.10800676864925604,0.5075312855389571,,0.2329211602583462,0.7706084016992897
1153,4-acetylcatechol sulfate (1),Method 3,RRWBOGSYNDIRNR-UHFFFAOYSA-N,,,0.4116541353383459,False,within_12m,provided_area,True,0.007970415292995801,-1.062396244668417,0.028437521746265824,0.3802072299577694,0.0052019318039434916,0.4499373148693512,0.166932035150962,,0.2329211602583462,0.854136444979075
926,oleoylcholine,Method 2,GFSSJDJAEKYAGX-UHFFFAOYSA-N,HMDB0240596,,0.007518796992481203,True,within_12m,provided_area,True,0.00248967508621268,-0.9507346281613327,-0.015072158473136777,0.34254954568313367,0.005512265724065255,0.6697638454077698,0.6539322114562207,,0.2329211602583462,0.9324917744513518
142,picolinate,Method 1,SIOXPEMLGUPBBT-UHFFFAOYSA-N,HMDB0002243,C10164,0.0018796992481203006,True,within_12m,provided_area,True,-0.0038221361620507975,0.5136871300044692,-0.014794513877137273,0.18526463664251744,0.005558977571798239,0.46971506329975266,0.8077739768043855,,0.2329211602583462,0.858185806057833
373,epiandrosterone sulfate,Method 3,ZMITXKRGXGRMKS-FMLJXKFRSA-N,HMDB0062657,C04555,0.0018796992481203006,True,within_12m,provided_area,True,0.0020727191971399734,-0.8833895771635814,-0.004313148249045776,0.3205760978507856,0.0058578961148664675,0.7468960801206184,0.9792193850738438,,0.23299037023754518,0.9388483727116173
913,palmitoylcholine,Method 2,UFQZDKMTMXCDBP-UHFFFAOYSA-N,HMDB0240592,,0.0018796992481203006,True,within_12m,provided_area,True,0.0029034664604649543,-0.9294049342887899,-0.0032893290288234546,0.33812544694101876,0.005983238042195514,0.9148023117526854,0.667643078449561,,0.23299037023754518,0.9712048191495992
927,arachidonoylcholine,Method 2,XUWOVXDQNYUPNL-WYTUUNCASA-N,HMDB0240583,,0.011278195488721804,True,within_12m,provided_area,True,0.004917883412779599,-1.0652572815848855,-0.001637763031899873,0.38897049555681584,0.006169045093389847,0.955748362307953,0.6810513294113174,,0.23299037023754518,0.9919112712524151
627,1-(1-enyl-palmitoyl)-GPC (P-16:0)*,Method 2,HTZINLFNXLXRBC-CQLBIITFSA-N,HMDB0010407,,0.0,True,within_12m,provided_area,True,0.00038811852971057896,-0.5060296336122165,-0.008304429645034127,0.18542388351471126,0.006351854314340007,0.6271332540788737,0.7405582339801499,,0.23299037023754518,0.9219959068738528
960,linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*,Method 2,MQGBAQLIFKSMEM-WVZYQCMWSA-N,HMDB0007248,,0.06015037593984962,True,within_12m,provided_area,True,0.0014633660844402504,-1.154035164684058,-0.01866743462983872,0.42436017348633837,0.006538643792082331,0.46085631390048265,0.8136729855520297,,0.23299037023754518,0.8544194492225763
639,oleoyl-linoleoyl-glycerol (18:1/18:2) [2],Method 2,GREDRAMJRDQWEJ-LTEAFHAISA-N,HMDB0007219,,0.007518796992481203,True,within_12m,provided_area,True,0.0005175419765181161,-1.1057288975045922,-0.004605896220549386,0.4076773502463693,0.006682520055929337,0.7824907698368224,0.963807340111892,,0.23299037023754518,0.9471474925108294
366,1-oleoyl-GPC (18:1),Method 2,YAMUFBLWGFFICM-PTGWMXDISA-N,HMDB0002815,C03916,0.0,True,within_12m,provided_area,True,0.0018877225958513456,-0.3763327401712554,-0.019672376984527742,0.13919397942610648,0.006858109545576111,0.16884020876524075,0.7522789559063571,,0.23299037023754518,0.7788326849784507
684,5-hydroxymethyl-2-furoic acid,Method 3,PCSKKIUURRTAEM-UHFFFAOYSA-N,HMDB0002432,C20448,0.6785714285714286,False,within_12m,provided_area,True,0.002336693059130069,-0.915532143612326,-0.18133341138673306,0.34570036879916094,0.008088810830081561,0.058688822630932884,0.3547142987407132,,0.24865781970759368,0.7509306500577266
812,daidzein sulfate (2),Method 3,CQRHJEVIKOKQMO-UHFFFAOYSA-N,,,0.6616541353383458,False,within_12m,provided_area,True,0.006411240750065806,-0.8366940318054038,-0.0950193598762921,0.3165296723600113,0.008209371303305806,0.3260553267242793,0.08418901744374628,,0.24865781970759368,0.7870148122427485
942,2'-O-methylcytidine,Method 1,RFCQJGFZUQFYRF-ZOQUXTDFSA-N,,,0.022556390977443608,True,within_12m,provided_area,True,-0.003915864890905833,0.32997396539303037,0.0005767333829311632,0.12541024573420329,0.008509487605215226,0.9370132654609273,0.7033227098785858,,0.24865781970759368,0.9848040758230648
551,"androstenediol (3alpha, 17alpha) monosulfate (3)",Method 3,VPDALJSLCNNODJ-IUIQAQCZSA-N,,,0.25,False,within_12m,provided_area,True,-0.008776727330760088,-1.396277556086216,-0.07068192690736598,0.5347830601127362,0.009029814139540153,0.08195763264061592,0.860269913300069,,0.24865781970759368,0.7522236655268406
210,taurocholate,Method 3,WBWWGRHZICKQGZ-HGVCTONRSA-N,HMDB0000036,C05122,0.0037593984962406013,True,within_12m,provided_area,True,-0.02654672563145043,1.6586904838144172,-0.02958995884212844,0.6374925909478547,0.009270951196496026,0.3585412394634342,0.7588432078980735,,0.24865781970759368,0.810586938858879
428,1-stearoyl-GPE (18:0),Method 2,BBYWOYAFBUOUFP-JOCHJYFZSA-N,HMDB0011130,,0.0,True,within_12m,provided_area,True,0.0024932671446418453,-0.34625123813379527,-0.013104029999491645,0.1330948533160746,0.009280694615920654,0.3163320475785516,0.6891226945917943,,0.24865781970759368,0.7850312870147734
986,stearoylcholine*,Method 2,WYVHUXGFCVDOEA-UHFFFAOYSA-N,HMDB0240648,,0.011278195488721804,True,within_12m,provided_area,True,0.0017162169887056393,-1.055564359558647,-0.01427747334891561,0.4070729686108314,0.009512635846442135,0.6819776583260022,0.6430645450074682,,0.24865781970759368,0.9365845261627834
1194,taurochenodeoxycholic acid 3-sulfate,Method 3,IJHJZQKOSUFQCX-WZJRQFJBSA-N,HMDB0002486,,0.020676691729323307,True,within_12m,provided_area,True,-0.027073426357499368,1.5468769372175022,0.0016521248161226498,0.5966073735016355,0.009520120355690342,0.965474664325155,0.7183793353117667,,0.24865781970759368,0.9931273756601636
968,N-stearoyl-sphingadienine (d18:2/18:0)*,Method 2,LBBFOWQGVUEADU-CKGMUTLASA-N,HMDB0240362,,0.212406015037594,False,within_12m,provided_area,True,0.0020832164404946943,-1.1965743743085016,-0.02696498008178395,0.461608543856747,0.009536869383540165,0.4031633778292453,0.7569850561980109,,0.24865781970759368,0.8459619291484427
954,linoleoyl-docosahexaenoyl-glycerol (18:2/22:6) [1]*,Method 2,GPMAAGRGFWBOSO-KLJRXRINSA-N,HMDB0007266,,0.5902255639097744,False,within_12m,provided_area,True,0.007336509743601061,-0.884044006846265,-0.1516882289140802,0.3417276780537529,0.00968201114051523,0.0066506236675840154,0.45372543015595335,,0.24865781970759368,0.37999245227968675
158,alpha-tocopherol,Method 2,GVJHHUAWPYXKBD-IEOSBIPESA-N,HMDB0001893,C02477,0.0,True,within_12m,provided_area,True,0.0005665629721336807,-0.5078863820688095,-0.0026265174784421527,0.19669302844645328,0.009819343918509561,0.785853983380094,0.8381027326946111,,0.24865781970759368,0.9471474925108294
1223,isoursodeoxycholate sulfate (2),Method 3,WHMOBEGYTDWMIG-DNMBCGTGSA-N,,,0.7274436090225563,False,within_12m,provided_area,True,0.005580025357137888,-0.8008879774961073,-0.07735289156503251,0.3116476823479914,0.010174238763900592,0.12514022895907068,0.44548535652299925,,0.24865781970759368,0.7706084016992897
400,1-linoleoyl-GPC (18:2),Method 2,SPJFYYJXNPEZDW-UTJQPWESSA-N,HMDB0010386,C04100,0.0,True,within_12m,provided_area,True,0.0029256121021116483,-0.36717744752955644,-0.01987527072724254,0.14298370433692476,0.010229686666828166,0.2878465985920283,0.6511723906903514,,0.24865781970759368,0.7850312870147734
156,gamma-glutamyltyrosine,Method 3,VVLXCWVSSLFQDS-QWRGUYRKSA-N,HMDB0011741,,0.0,True,within_12m,provided_area,True,-0.005064678079717852,0.5172759544336056,-0.00632120830488267,0.20154152779497134,0.010270178745658939,0.7413572783921598,0.9253671615867336,,0.24865781970759368,0.9382595718567612
952,linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,Method 2,KRECEGQUDDMNAQ-MYBRWWDOSA-N,HMDB0007257,,0.11090225563909774,True,within_12m,provided_area,True,0.004969767218701085,-1.2587457843833474,-0.10208951604221533,0.49053932749340956,0.010286560560696,0.02390685598438474,0.7654560914516556,,0.24865781970759368,0.5323091006366589
638,oleoyl-linoleoyl-glycerol (18:1/18:2) [1],Method 2,BLZVZPYMHLXLHG-RQOIEFAZSA-N,HMDB0007219,,0.016917293233082706,True,within_12m,provided_area,True,-0.0003757411535756978,-1.0242890728750453,0.012091514355589762,0.4016020006184808,0.010756608801448304,0.44214842855155,0.9482739653644495,,0.2551142879890664,0.854136444979075
916,mycophenolic acid glucuronide,Method 3,BYFGTSAYQQIUCN-HGIHDBQLSA-N,HMDB0060634,,0.9736842105263158,False,within_12m,provided_area,True,0.0024306778678966734,-0.09775078223325777,-0.0024306778678967467,0.03850407799165471,0.011126122729374912,0.1866528326938025,0.37578349491468427,,0.25899141242267154,0.7820753689870324
323,3-hydroxylaurate,Method 3,MUCMKTPAZLSKTL-UHFFFAOYSA-N,HMDB0000387,,0.0018796992481203006,True,within_12m,provided_area,True,-0.008085488455331373,0.8127633461347028,0.005036707092307565,0.32155200672278117,0.011483647369726444,0.9061851339109991,0.5853815791520195,,0.26245354079538435,0.9680919467804826
