feature_index,metabolite,method,inchikey,hmdb,kegg,missing_fraction,high_coverage,analysis,normalization,converged,optimizer,beta_time,beta_group,beta_time_group,se_group,p_group,p_time_group,patient_variance,residual_variance,log_likelihood,error,q_group,q_time_group
299,N-acetylglycine,Method 1,OKJIRPAQVSHGFK-UHFFFAOYSA-N,HMDB0000532,,0.0,True,within_12m,sample_median_scaled,True,lbfgs,0.0067603632308709,-0.7454596670931144,-0.0091754714680125,0.1807353775659061,3.7139274647293065e-05,0.6101277065745709,0.519687023182573,0.1578502205562423,-459.9237185740926,,0.03546800728816488,0.9999994324487448
537,taurocholenate sulfate*,Method 3,OEDITLKCLMKBOM-UHFFFAOYSA-N,,,0.0,True,within_12m,sample_median_scaled,True,lbfgs,-0.0118007998060879,1.1470381430721732,0.0070129932463294,0.3024229705149133,0.0001489416566435,0.8240170323227909,1.4148140525453363,0.488037630465817,-750.1213040141527,,0.03655081992691642,0.9999994324487448
1133,ezetimibe glucuronide*,Method 3,UOFYCFMTERCNEW-ADEYADIWSA-N,,,0.9924812030075189,False,within_12m,sample_median_scaled,True,lbfgs,-1.589225766554687e-16,0.1810505531796586,0.0062586089681587,0.0479725375234966,0.0001606212607542,0.0264699270532112,0.043154943384209,0.0037120918083875,430.0237855370328,,0.03655081992691642,0.9999994324487448
685,famotidine,Method 1,XUFQPHANEAPEMJ-UHFFFAOYSA-N,HMDB0001919,D00318,0.9830827067669172,False,within_12m,sample_median_scaled,True,lbfgs,-0.0001655581272736,0.3431395071990061,0.0637542384150675,0.0911120690045474,0.0001658003226813,2.8465055297306407e-11,0.1282481728989898,0.0444933048112927,-112.58881332146734,,0.03655081992691642,2.718412780892762e-08
694,taurohyocholate*,Method 3,XSOLDPYUICCHJX-QZWOQUDZSA-N,HMDB0011637,C15516,0.2368421052631578,False,within_12m,sample_median_scaled,True,lbfgs,-0.0222793714372094,3.1186136025786766,-0.0033481050996133,0.8367213169459928,0.0001936317457127,0.9696200373894476,10.779911094234157,3.793028283114816,-1294.012073688825,,0.03655081992691642,0.9999994324487448
440,1-palmitoleoyl-GPC (16:1)*,Method 2,LFUDDCMNKWEORN-KHPPLWFESA-N,HMDB0010383,,0.0,True,within_12m,sample_median_scaled,True,lbfgs,0.0019808110931583,-0.5484294414372903,-0.0288477629260922,0.1488695593752557,0.0002296386592267,0.1055788063998127,0.3063845712777844,0.1600368530904916,-422.2304318473391,,0.03655081992691642,0.9999994324487448
360,1-palmitoyl-GPC (16:0),Method 2,ASWBNKHCZGQVJV-UHFFFAOYSA-N,HMDB0010382,C04102,0.0,True,within_12m,sample_median_scaled,True,lbfgs,0.0019086100669015,-0.3952901593743201,-0.0051170300386384,0.1111377950996923,0.0003754607903023,0.6688581483707572,0.1869948768242867,0.0705638862381503,-228.73757424867063,,0.050005813766713446,0.9999994324487448
366,1-oleoyl-GPC (18:1),Method 2,YAMUFBLWGFFICM-PTGWMXDISA-N,HMDB0002815,C03916,0.0,True,within_12m,sample_median_scaled,True,lbfgs,0.0026185640422885,-0.3623619642766638,-0.0133575396745713,0.1035703600690965,0.0004675264532722,0.3186099422099593,0.1356015437436078,0.0921024197443212,-256.78346977542446,,0.050005813766713446,0.9999994324487448
928,docosahexaenoylcholine,Method 2,OKLWSURGMYZXCS-GUTOPQIJSA-N,HMDB0240647,,0.1710526315789473,True,within_12m,sample_median_scaled,True,lbfgs,0.0063287711163323,-1.6695596506844907,-0.0437853286937403,0.4774832891056125,0.0004712589779062,0.416022618500198,3.3329049052677684,1.4383371226600483,-1020.4299914524602,,0.050005813766713446,0.9999994324487448
627,1-(1-enyl-palmitoyl)-GPC (P-16:0)*,Method 2,HTZINLFNXLXRBC-CQLBIITFSA-N,HMDB0010407,,0.0,True,within_12m,sample_median_scaled,True,lbfgs,0.0011467069865714,-0.4919192247397605,-0.0025430388299441,0.1446851238629812,0.0006740322285192,0.8819947944661979,0.292714303633071,0.1473587726253309,-402.9600135698672,,0.06253186844616584,0.9999994324487448
987,linoleoylcholine*,Method 2,GVYIAXNFCSAJSK-OKLKQMLOSA-N,HMDB0013213,,0.0018796992481203,True,within_12m,sample_median_scaled,True,lbfgs,0.0041443306928548,-1.0258052353182647,0.0063267195284564,0.3042847981425954,0.0007484121357037,0.8705851507445768,1.1916605049775046,0.7704654731323324,-825.1747602566245,,0.06253186844616584,0.9999994324487448
222,3-phenylpropionate (hydrocinnamate),Method 3,XMIIGOLPHOKFCH-UHFFFAOYSA-N,HMDB0000764,C05629,0.2161654135338346,False,within_12m,sample_median_scaled,True,lbfgs,0.003981335967631,-2.1365868275172013,-0.0228584061117264,0.6367444213028811,0.0007922574007777,0.7988577029452127,4.4650741423323925,4.242710681988417,-1253.6766246102882,,0.06253186844616584,0.9999994324487448
1157,clarithromycin,Method 2,AGOYDEPGAOXOCK-KCBOHYOISA-N,HMDB0015342,"C06912,D00276",0.9924812030075189,False,within_12m,sample_median_scaled,True,lbfgs,0.0001331010995149,0.5015521181924077,0.0553971536057899,0.1503643277501232,0.0008512191516232,0.0033085729870983,0.2987352394557342,0.1789391974980043,-442.1516563997898,,0.06253186844616584,0.22569194304849116
986,stearoylcholine*,Method 2,WYVHUXGFCVDOEA-UHFFFAOYSA-N,HMDB0240648,,0.0112781954887218,True,within_12m,sample_median_scaled,True,lbfgs,0.0030411003598291,-1.032933041461383,-0.0058290553815904,0.3153157742840897,0.0010533756060655,0.8833697165519159,1.301112016641906,0.8025089791188116,-839.2856402388945,,0.07185526455661088,0.9999994324487448
929,palmitoloelycholine,Method 2,CLIZBTUFRKKPFA-UHFFFAOYSA-N,HMDB0013208,,0.2161654135338346,False,within_12m,sample_median_scaled,True,lbfgs,-0.0021079010110247,-1.2194486098046746,-0.0324938746415163,0.3768769237785661,0.0012135843809048,0.4896229876897997,1.8779627518597213,1.1243057779520726,-931.0622649100412,,0.07248643444886906,0.9999994324487448
156,gamma-glutamyltyrosine,Method 3,VVLXCWVSSLFQDS-QWRGUYRKSA-N,HMDB0011741,,0.0,True,within_12m,sample_median_scaled,True,lbfgs,-0.0057498180426757,0.52566730107766,-0.0011932448251898,0.1640285672101099,0.0013518914271457,0.9364198057904446,0.4476259836984063,0.1077917389565539,-377.2667862828596,,0.07248643444886906,0.9999994324487448
365,1-stearoyl-GPC (18:0),Method 2,IHNKQIMGVNPMTC-RUZDIDTESA-N,HMDB0010384,,0.0,True,within_12m,sample_median_scaled,True,lbfgs,0.0010937310231508,-0.4004038698832197,0.0015783404473578,0.1252508518158124,0.001389537529956,0.9159830380124112,0.217537380097935,0.1125086261191086,-329.2173181583587,,0.07248643444886906,0.9999994324487448
