"metabolite","method","inchikey","smiles","cas","chemspider","hmdb","kegg","pubchem","n_missing","missing_fraction","n_zero","zero_fraction","has_inchikey","has_hmdb","has_kegg","has_any_curated_id"
"spermidine","Method 1","ATHGHQPFGPMSJY-UHFFFAOYSA-N","NCCCCNCCCN","124-20-9","1071","HMDB0001257","C00315","1102",7,0.011437908496732,0,0,TRUE,TRUE,TRUE,TRUE
"1-methylnicotinamide","Method 1","LDHMAVIPBRSVRG-UHFFFAOYSA-N","C[N+]1=CC(C([NH-])=O)=CC=C1","1005-24-9","8305504","HMDB0000699","C02918","457",0,0,0,0,TRUE,TRUE,TRUE,TRUE
"12,13-DiHOME","Method 3","CQSLTKIXAJTQGA-FLIBITNWSA-N","CCCCCC(C(C/C=C\CCCCCCCC(O)=O)O)O","263399-35-5","8412123","HMDB0004705","C14829","10236635",13,0.0212418300653595,0,0,TRUE,TRUE,TRUE,TRUE
"5-hydroxyindoleacetate","Method 3","DUUGKQCEGZLZNO-UHFFFAOYSA-N","OC1=CC=C(NC=C2CC(O)=O)C2=C1","54-16-0","1760","HMDB0000763","C05635","1826",59,0.0964052287581699,0,0,TRUE,TRUE,TRUE,TRUE
"alpha-ketoglutarate","Method 4","KPGXRSRHYNQIFN-UHFFFAOYSA-N","O=C(C(O)=O)CCC(O)=O","328-50-7,22202-68-2,305-72-6","50","HMDB0000208","C00026","51",0,0,0,0,TRUE,TRUE,TRUE,TRUE
"kynurenate","Method 3","HCZHHEIFKROPDY-UHFFFAOYSA-N","OC1=C(C=CC=C2)C2=NC(C(O)=O)=C1","492-27-3","3712","HMDB0000715","C01717","3845",0,0,0,0,TRUE,TRUE,TRUE,TRUE
"3-hydroxyisobutyrate","Method 4","DBXBTMSZEOQQDU-UHFFFAOYSA-N","CC(C(O)=O)CO","2068-83-9","10140307","HMDB0000023,HMDB0000336","C01188,C06001","11966314",8,0.0130718954248366,0,0,TRUE,TRUE,TRUE,TRUE
"3-hydroxy-3-methylglutarate","Method 4","NPOAOTPXWNWTSH-UHFFFAOYSA-N","CC(CC(O)=O)(CC(O)=O)O","503-49-1","4573695","HMDB0000355","C03761","16,625,459,993",0,0,0,0,TRUE,TRUE,TRUE,TRUE
"homovanillate (HVA)","Method 3","QRMZSPFSDQBLIX-UHFFFAOYSA-N","COC1=CC(CC(O)=O)=CC=C1O","306-08-1","5323114","HMDB0000118","C05582","1738",191,0.312091503267974,0,0,TRUE,TRUE,TRUE,TRUE
"cholate","Method 3","BHQCQFFYRZLCQQ-OLRQUHAPSA-N","O[C@H]1[C@@]2([H])[C@]3([H])CC[C@H]([C@H](C)CCC(O)=O)[C@@]3(C)[C@@H](O)C[C@]2([H])[C@@]4(C)CC[C@@H](O)CC4C1","81-25-4","","HMDB0000619","C00695","221493",2,0.00326797385620915,0,0,TRUE,TRUE,TRUE,TRUE
