"metabolite","analysis_id","mode","matching_mass","rt_minutes","authentic_standard","identification_tier","source","feature_id","observed_mass","observed_rt_minutes","mass_error","rt_error_minutes","candidate_count","match_status"
"fumaric acid","AN001900","EI",245,11.2,FALSE,"putative_level_2_GC_library_RI","Supplementary Table S3","245_669.014110429448",245,11.1502351738241,0,-0.0497648261758652,2,"high_confidence_mass_rt_match"
"malic acid","AN001900","EI",233,13.1,FALSE,"putative_level_2_GC_library_RI","Supplementary Table S3","233_788.694444444445",233,13.1449074074074,0,0.0449074074074183,3,"high_confidence_mass_rt_match"
"succinic acid","AN001900","EI",247,10.7,FALSE,"putative_level_2_GC_library_RI","Supplementary Table S3","247_641.462275449102",247,10.6910379241517,0,-0.00896207584830044,2,"high_confidence_mass_rt_match"
"glucose","AN001900","EI",205,18.1,FALSE,"putative_level_2_GC_library_RI","Supplementary Table S3","205_1083.55889570552",205,18.0593149284253,0,-0.0406850715746678,3,"high_confidence_mass_rt_match"
"lactic acid","AN001900","EI",117,6.6,FALSE,"putative_level_2_GC_library_RI","Supplementary Table S3","117_393.720958083832",117,6.56201596806387,0,-0.0379840319361335,2,"high_confidence_mass_rt_match"
"hypoxanthine","AN001900","EI",265,16.7,TRUE,"level_1_authentic_standard","Supplementary Table S3","265_1000.15",265,16.6691666666667,0,-0.0308333333333337,2,"high_confidence_mass_rt_match"
"hypoxanthine","AN001902","ESI_negative",135.0299,0.6,TRUE,"level_1_authentic_standard","Supplementary Table S3","135.0299427_34.85699845",135.0299427,0.580949974166667,0.316226257995533,-0.0190500258333334,1,"high_confidence_mass_rt_match"
"xanthosine","AN001900","EI",325,24.4,TRUE,"level_1_authentic_standard","Supplementary Table S3","325_1466.80838709677",325,24.4468064516128,0,0.0468064516128344,4,"high_confidence_mass_rt_match"
"xanthosine","AN001902","ESI_negative",283.0671,0.6,TRUE,"level_1_authentic_standard","Supplementary Table S3","283.0671613_34.37849986",283.0671613,0.572974997666667,0.216556427882758,-0.0270250023333334,1,"high_confidence_mass_rt_match"
"adenosine monophosphate","AN001900","EI",169,27.1,TRUE,"level_1_authentic_standard","Supplementary Table S3","169_1618.6417721519",169,26.9773628691983,0,-0.122637130801667,2,"high_confidence_mass_rt_match"
"adenosine monophosphate","AN001902","ESI_negative",346.0544,0.6,TRUE,"level_1_authentic_standard","Supplementary Table S3","346.0544252_37.81500075",346.0544252,0.6302500125,0.0728209207531945,0.0302500125,1,"high_confidence_mass_rt_match"
"propionylcarnitine","AN001901","ESI_positive",218.1391,0.6,FALSE,"putative_level_2_MS2","Supplementary Table S3","218.139172537477_34.8179986000061",218.139172537477,0.580299976666768,0.332528542547617,-0.0197000233332316,1,"high_confidence_mass_rt_match"
"linoleic acid","AN001902","ESI_negative",279.2317,8.8,TRUE,"level_1_authentic_standard","Supplementary Table S3","279.2317377_529.1069858",279.2317377,8.81844976333333,0.135013324085821,0.0184497633333311,1,"high_confidence_mass_rt_match"
"PC(34:2)","AN001901","ESI_positive",758.57,8.8,FALSE,"putative_level_2_MS2","Supplementary Table S3","758.569679854426_528.516999969482",758.569679854426,8.80861666615803,-0.422038274715467,0.0086166661580318,2,"high_confidence_mass_rt_match"
"PC(38:3)","AN001901","ESI_positive",812.6162,10.3,FALSE,"putative_level_2_MS2","Supplementary Table S3","812.616205910088_616.67599067688",812.616205910088,10.277933177948,0.00727291420853827,-0.0220668220520004,2,"high_confidence_mass_rt_match"
"PC(36:1)","AN001901","ESI_positive",788.6164,10.4,FALSE,"putative_level_2_MS2","Supplementary Table S3","788.616644128038_625.260009460449",788.616644128038,10.4210001576742,0.309565002766966,0.0210001576741501,1,"high_confidence_mass_rt_match"
"PC(38:2)","AN001901","ESI_positive",814.632,10.5,FALSE,"putative_level_2_MS2","Supplementary Table S3","814.632003279204_630.294995727539",814.632003279204,10.504916595459,0.00402538086598665,0.00491659545898315,1,"high_confidence_mass_rt_match"
"glycerol 3-phosphate","AN001902","ESI_negative",171.0051,0.6,FALSE,"putative_level_2_MS2","Supplementary Table S3","171.0051031_33.96449903",171.0051031,0.566074983833333,0.0181281143948959,-0.0339250161666667,1,"high_confidence_mass_rt_match"
"glycerylphosphorylethanolamine","AN001902","ESI_negative",214.0477,0.6,FALSE,"putative_level_2_MS2","Supplementary Table S3","214.0477418_34.40299896",214.0477418,0.573383316,0.195283574733672,-0.0266166840000001,1,"high_confidence_mass_rt_match"
"glycerophosphocholine","AN001901","ESI_positive",258.11,0.7,FALSE,"putative_level_2_MS2","Supplementary Table S3","258.110022427755_41.2540007925034",258.110022427755,0.687566679875057,0.0868922357542214,-0.0124333201249434,2,"high_confidence_mass_rt_match"
"coenzyme Q10","AN001901","ESI_positive",885.6731,12.4,TRUE,"level_1_authentic_standard","Supplementary Table S3",NA,NA,NA,NA,NA,0,"no_in_tolerance_candidate"
