"weighting_scheme","dimension","weight"
"equal","microbial_reproducibility",0.125
"equal","human_metabolite_observed",0.125
"equal","microbe_metabolite_link",0.125
"equal","metabolite_target_link",0.125
"equal","host_reproduced_two_datasets",0.125
"equal","single_cell_localisation",0.125
"equal","major_contradiction_resolved",0.125
"equal","robust_to_analytic_choices",0.125
"measured_layer_emphasis","microbial_reproducibility",0.18
"measured_layer_emphasis","human_metabolite_observed",0.18
"measured_layer_emphasis","microbe_metabolite_link",0.12
"measured_layer_emphasis","metabolite_target_link",0.12
"measured_layer_emphasis","host_reproduced_two_datasets",0.14
"measured_layer_emphasis","single_cell_localisation",0.1
"measured_layer_emphasis","major_contradiction_resolved",0.08
"measured_layer_emphasis","robust_to_analytic_choices",0.08
"bridge_emphasis","microbial_reproducibility",0.1
"bridge_emphasis","human_metabolite_observed",0.1
"bridge_emphasis","microbe_metabolite_link",0.22
"bridge_emphasis","metabolite_target_link",0.22
"bridge_emphasis","host_reproduced_two_datasets",0.12
"bridge_emphasis","single_cell_localisation",0.08
"bridge_emphasis","major_contradiction_resolved",0.08
"bridge_emphasis","robust_to_analytic_choices",0.08
"validation_emphasis","microbial_reproducibility",0.1
"validation_emphasis","human_metabolite_observed",0.1
"validation_emphasis","microbe_metabolite_link",0.1
"validation_emphasis","metabolite_target_link",0.1
"validation_emphasis","host_reproduced_two_datasets",0.2
"validation_emphasis","single_cell_localisation",0.16
"validation_emphasis","major_contradiction_resolved",0.14
"validation_emphasis","robust_to_analytic_choices",0.1
