gene,mean_logCPM_control,mean_logCPM_GCA,log2FC_GCA_vs_control,welch_t,p_welch,q_bh
CHST12,4.737146107692482,5.459131229950138,0.7219851222576565,40.43424291030873,2.24815688460497e-06,0.012726255140452412
ZDHHC9,5.4920762180461935,10.802543243435892,5.310467025389698,37.37209894674074,3.2443922658156402e-06,0.012726255140452412
ZNF385A,6.591919923793937,8.043863412926099,1.4519434891321614,39.12575178838694,3.473301059451484e-06,0.012726255140452412
UCP2,4.495868574526434,5.636347470470814,1.14047889594438,43.96884999972931,4.022522367586697e-06,0.012726255140452412
IL17RC,4.447411175670393,5.407580016065739,0.9601688403953466,63.94233937801719,5.43899355799451e-06,0.013766092695284105
SOX14,-0.07943111985775811,8.731604953123478,8.811036072981237,43.98826748793754,6.962325049785155e-06,0.014684703917505188
CHCHD4,4.672299406079185,4.080419337080464,-0.5918800689987211,-24.766359053287328,1.9645633928108838e-05,0.024437892740341177
CD82,3.8497079548594892,5.203906147766087,1.354198192906598,23.49035726697408,2.8133028615551477e-05,0.024437892740341177
FLOT2,7.255559261199298,7.807225901038746,0.5516666398394481,23.061526976215646,3.086126671025825e-05,0.024437892740341177
SERPINF2,2.8093647024603836,4.394960121391139,1.5855954189307555,26.289501067810523,3.621756580962944e-05,0.024437892740341177
GLRX3,5.828385498304322,5.20364846006069,-0.6247370382436319,-21.59795813921759,3.6514806538284343e-05,0.024437892740341177
KLK6,5.9087424345506845,7.48535860375967,1.576616169208986,21.371142730621695,3.7026477805120265e-05,0.024437892740341177
EPN3,4.838033971554228,6.599920595189427,1.7618866236351982,20.180417558798304,3.9748128433364705e-05,0.024437892740341177
UFSP1,2.0083761730228673,2.691679264384421,0.6833030913615539,18.891504502411255,4.62398002208645e-05,0.024437892740341177
SULT2B1,2.5096749381912233,4.087174488526569,1.5774995503353453,31.966967347831606,4.649120783947523e-05,0.024437892740341177
LLGL1,7.423297191937325,8.03135399012668,0.608056798189355,23.639837372941454,5.2748791551740905e-05,0.024437892740341177
RAD51C,5.144517587651424,4.321578112961396,-0.8229394746900276,-23.718518903277683,5.297929073138868e-05,0.024437892740341177
EPHB6,4.051742001249557,5.211804040927896,1.1600620396783388,18.136853096619028,5.466173301198521e-05,0.024437892740341177
SHMT1,6.628288194098761,7.102427286527507,0.4741390924287465,38.42190755027674,5.693872069311871e-05,0.024437892740341177
FRAT2,4.049442185509328,4.954307743129679,0.9048655576203508,18.534525185042625,5.695845415091579e-05,0.024437892740341177
LDHD,2.0607980574677494,4.035763947458464,1.9749658899907145,17.968493495207866,5.703369671545064e-05,0.024437892740341177
EGFL7,7.292006345191727,8.012964864927795,0.720958519736068,19.277828124960656,5.91966690625963e-05,0.024437892740341177
ANXA3,7.6270834947080735,6.763497996689225,-0.8635854980188489,-17.746496213081844,5.957235836912588e-05,0.024437892740341177
RBBP8NL,0.704449381563677,3.3807311068349257,2.6762817252712487,22.233470371060935,6.181880089006527e-05,0.024437892740341177
