species,metabolite,n_all,beta_joint_all,se_joint_all,p_joint_all,n_crc,beta_joint_crc,se_joint_crc,p_joint_crc,n_healthy,beta_joint_healthy,se_joint_healthy,p_joint_healthy,primary_discovery_r,primary_validation_r,crc_univariable_r,motu_r,presence_r,q_joint_all,q_joint_crc,q_joint_healthy,joint_all_concordant,joint_crc_concordant,independent_crc_candidate,healthy_same_direction,crc_preferential_exploratory
Peptostreptococcus stomatis,C05341_beta-Ala-Lys,346,0.287012477675912,0.09296651211067564,0.002281005740786644,149,0.6338782337458638,0.17179492692469148,0.0004857736490399706,127,-0.017525133602430465,0.15645231518488878,0.9111508524257432,0.2646139733343021,0.2387967517818429,0.385816483201653,0.3182361671958907,0.1943964545271137,0.020404705085187998,0.03497570273087788,0.9760906624780601,True,True,True,False,True
Fusobacterium nucleatum,"C06057_3-Aminopropane-1,2-diol",346,0.3077650339276028,0.07683366404919131,8.47527729870781e-05,149,0.4572205963396951,0.1407498740625625,0.0019026256043587605,127,0.12692878132279217,0.13750590150965883,0.3593285279240853,0.1881919786307666,0.3713454788196574,0.3669120247998315,0.3185000662655072,0.1300642905226529,0.003981487508287715,0.05115284568118448,0.5805489994308757,True,True,True,True,True
Peptostreptococcus stomatis,C01921_Glycocholate,346,0.2813421111201305,0.09084136788566297,0.0022099937930121927,149,0.4845475696892463,0.15568534813216622,0.0028418247600658043,127,0.05472920550540472,0.1522612175774791,0.7204113304339499,0.3155859950764776,0.2921285620516759,0.433601030154106,0.3556997362184819,0.2432852803070805,0.020404705085187998,0.05115284568118448,0.8791460303600744,True,True,True,True,True
Peptostreptococcus stomatis,C00041_Ala,346,0.23281698066052503,0.10355766515206098,0.025560192176555342,149,0.5695607422843991,0.17754561501842123,0.002146044484875124,127,0.08391911498602278,0.16091022929770765,0.6037450855223433,0.2009462773964311,0.2514462006144293,0.3493631068941238,0.3141512535898989,0.2601528459342334,0.08785602431030304,0.05115284568118448,0.7762436813858699,True,True,True,True,True
Peptostreptococcus stomatis,C05984_2-Hydroxybutyrate,346,0.24205441147377732,0.08033233115607434,0.0028897885306916823,149,0.4340637069100448,0.15108311330466484,0.0056140798559857685,127,-0.07155227834315903,0.12525152228701372,0.5697577781224059,0.2308530607587275,0.2746720663991198,0.3480716219969164,0.3734728358667418,0.2836057614226959,0.020806477420980112,0.08084274992619507,0.7520191136908518,True,True,True,False,True
Peptostreptococcus stomatis,C00647_Pyridoxamine 5'-phosphate,346,-0.21312432281463872,0.08937511200880445,0.017950271179064982,149,-0.4379972036615445,0.15844817867980668,0.0075662037249779775,127,0.022744950472235348,0.16982711430719713,0.8938654635329852,-0.1787202565770299,-0.2544065832378167,-0.2886981911966829,-0.2367518370287828,-0.1839780023302198,0.0680220802575094,0.09079444469973573,0.9760906624780601,True,True,True,False,True
Peptostreptococcus stomatis,2-Hydroxypentanoate,346,0.13785815559806525,0.09458735121174225,0.1464193201020937,149,0.4914129065481546,0.18361283584234162,0.009582328638891077,127,-0.13356282085432392,0.14825147889744,0.37090630519194834,0.159466012641772,0.2873021409041807,0.3719461492781012,0.3736871259736467,0.1123717797090062,0.21831165750032944,0.09856109457145108,0.5805489994308757,True,True,False,False,False
Peptostreptococcus stomatis,C05122_Taurocholate,346,0.2511694063643135,0.08788188820965784,0.004673924392122492,149,0.3876585395183849,0.14914391633173504,0.011742777696140452,127,0.0877442773163668,0.13744573718776595,0.5254275139219933,0.280018240274747,0.3130609881847995,0.4066252934148267,0.3674439889974921,0.3199857215179282,0.02804354635273495,0.10568499926526406,0.713788320799689,True,True,False,True,False
Parvimonas unclassified,C04137_Octopine,346,0.2946817703746756,0.07778160200996538,0.00019579364534418666,149,0.35675361294825025,0.155342895270273,0.025151060078129384,127,0.3788217983797145,0.12253150833619633,0.002915255992059744,0.3029207587401772,0.2588655875293258,0.2126755313672331,0.1598074020793782,0.2587963390716817,0.004699047488260479,0.1594632531191321,0.012346966554605975,True,True,False,True,False
Peptostreptococcus stomatis,C00300_Creatine,346,0.21076112926941382,0.09888152434129512,0.03416623167622896,149,0.39037859884247195,0.16574404436633067,0.021794541233592486,127,0.019985824501792315,0.15478073145179802,0.8976526479960416,0.270624695678159,0.2992263548424479,0.356297279425526,0.3470444814444971,0.3182276426118985,0.08785602431030304,0.1594632531191321,0.9760906624780601,True,True,False,True,False
Gemella morbillorum,C00378_Thiamine,346,-0.16330518499054036,0.08117249963567415,0.04546311485829253,149,-0.3248776987282824,0.1417295785154902,0.025415033649678245,127,-0.008153198745781909,0.13209529291119143,0.9509706759295581,-0.2506743856451521,-0.1853025554245727,-0.3879046636759153,-0.2316071142192137,-0.1085411775173352,0.09919225059991098,0.1594632531191321,0.9901723303737823,True,True,False,True,False
Peptostreptococcus stomatis,C01089_3-Hydroxybutyrate,346,0.11728367099117754,0.08321062037213434,0.16011184888585625,149,0.37236106247577444,0.1637701526227774,0.02657720885318868,127,-0.24067305833281183,0.13285193680691007,0.07459983325847132,0.2353078863365991,0.2051399158119463,0.2162994160048962,0.2912750075254894,0.256741935209293,0.22885263493876162,0.1594632531191321,0.19893288868925685,True,True,False,False,False
Peptostreptococcus stomatis,C00431_5-Aminovalerate,346,0.13972414633214925,0.09960647009276792,0.16210394974828948,149,0.37805866938584765,0.1715924755384379,0.031428784963089255,127,-0.0007452369711986595,0.1717124640595386,0.9965502608510282,0.2265657603633351,0.2243284655214971,0.3192203747347935,0.3539602267427219,0.2864667659091232,0.22885263493876162,0.1740671167186482,0.9965502608510283,True,True,False,False,False
Peptostreptococcus stomatis,C00114_Choline,346,0.14662359862092267,0.10093457778686186,0.14774951841113532,149,0.3517688216240945,0.16967072226419233,0.04245163387340161,127,-0.22307325305515602,0.15373154213145854,0.15150054560738624,0.2063277406703515,0.1910155007620538,0.3021240720229461,0.302172921751532,0.2925692379189155,0.21831165750032944,0.21832268849177972,0.33054664496157,True,True,False,False,False
Peptostreptococcus stomatis,C01046_N-Methylglutamate,346,-0.28954817546015243,0.08969996763312721,0.0014380630585330053,149,-0.3589759059252242,0.17575994569628514,0.045511428369877635,127,-0.19474786674167466,0.15030013309036708,0.1995830526689095,-0.2564650914927901,-0.2517386034121768,-0.2900522992069274,-0.3053785367081338,-0.2338826593126407,0.020404705085187998,0.21845485617541266,0.39123093926741354,True,True,False,True,False
Peptostreptococcus stomatis,C00407_Ile,346,0.22481956819690807,0.10370040846068342,0.03123882697927289,149,0.35244112177414993,0.1767903863167994,0.05075288416570651,127,0.12592600057936248,0.18277311833093982,0.4932543773468072,0.2408821960092202,0.2203170189394117,0.3227567728221084,0.2695298270311071,0.2561054850919608,0.08785602431030304,0.2283879787456793,0.7119321114125624,True,True,False,True,False
Peptostreptococcus stomatis,C01425_Glu-Glu,346,0.2352776549861617,0.08879629911053577,0.00864536609436415,149,0.3020365005773177,0.1666992958516945,0.07501231321669037,127,0.11079631513637045,0.13444869452281516,0.41286297359077806,0.3134495278974153,0.1908733925947599,0.3297270095803237,0.3152873190468483,0.2493590193338645,0.04788202759955529,0.28224683909402165,0.6324709382667238,True,True,False,True,False
Peptostreptococcus stomatis,C03264_2-Hydroxy-4-methylpentanoate,346,0.21036617492913334,0.08257389562531126,0.011531874819165637,149,0.28017910676992297,0.15362405404336646,0.07316416695224004,127,0.08368599755931361,0.11749412594232551,0.4788161110550878,0.3647897758506545,0.2795023487321501,0.3745092721198556,0.3786729859490504,0.2415990966887863,0.05211863432548437,0.28224683909402165,0.7119321114125624,True,True,False,True,False
Fusobacterium nucleatum,"C00986_1,3-Diaminopropane",346,0.17021382487250775,0.06906951194723772,0.014494653964381878,149,0.20856917525845908,0.11690908619399804,0.07947574180664552,127,0.45991355481471574,0.1326355670843967,0.0009293444107966502,0.1701690156409475,0.3012355200671417,0.316377893001982,0.1803565321785118,0.292895103200421,0.0613891226726762,0.28224683909402165,0.006691279757735881,True,True,False,True,False
Peptostreptococcus stomatis,C00042_Succinate,346,0.2005030955172054,0.09607575866131456,0.03805180748255927,149,0.3178654969124296,0.18223948403950277,0.08624208972317329,127,0.023247225372275082,0.16160853576341708,0.8860580359380901,0.1753027971904856,0.3900952042394774,0.3543395041106333,0.3249153043836461,0.2619679715534859,0.09151536350377826,0.28224683909402165,0.9760906624780601,True,True,False,True,False
Peptostreptococcus stomatis,C00183_Val,346,0.19461999788150208,0.10125131435739528,0.05588473267755838,149,0.3267630203174064,0.17915593422268344,0.07314796213609569,127,0.21903342762844458,0.1736204578136832,0.21154609764472757,0.1930387770612461,0.2049060511575129,0.3060747672519083,0.2792996944014341,0.2620492179432951,0.10588686191537376,0.28224683909402165,0.40082418501106276,True,True,False,True,False
Gemella morbillorum,C00250_Pyridoxal,346,-0.09160910518919552,0.07209217444776678,0.20517578905799042,149,-0.2477165393301679,0.14088247720118116,0.08379261970686723,127,0.177297983006919,0.10953449432106127,0.11029201526447127,-0.1834191186489806,-0.2061324462278611,-0.2698355088721734,-0.2365646371443566,-0.1330635078574941,0.25470097952026394,0.28224683909402165,0.2682281018955768,True,True,False,False,False
Fusobacterium nucleatum,C00398_Tryptamine,346,0.2112414245905767,0.06920393459931981,0.0025505881356484997,149,0.21590727382764552,0.12640007156211772,0.09278231643411966,127,0.2669241518626735,0.12664779588080022,0.03886731476019765,0.1870355317708722,0.23313621909498,0.2974873804358726,0.4588390489178237,0.1555501505788689,0.020404705085187998,0.29044899057637463,0.11193786650936924,True,True,False,True,False
Peptostreptococcus stomatis,C00123_Leu,346,0.22633060761633933,0.10430476928453654,0.03109071511970626,149,0.3083197248308309,0.19482528774484753,0.11878273536252157,127,0.2007948627640953,0.17788635992528656,0.26307623650297396,0.2201280315497104,0.219929233020687,0.2887267839873088,0.252401643270907,0.2544342046659345,0.08785602431030304,0.3494094686546518,0.48567920585164426,True,True,False,True,False
Peptostreptococcus stomatis,C00078_Trp,346,0.15353504065624168,0.09954329900920973,0.12442145994020645,149,0.29231096202682405,0.1864726274673441,0.12223823265187195,127,-0.05184284272429135,0.15708949783002127,0.7424292840465677,0.1807613346310865,0.1943280135190757,0.3024957374443827,0.2352511701596011,0.198314864159019,0.19907433590433032,0.3494094686546518,0.8909151408558813,True,True,False,False,False
Peptostreptococcus stomatis,"C03283_2,4-Diaminobutyrate",346,-0.12055244546719224,0.08701352865329699,0.16732588771166004,149,-0.2467652450718808,0.16118054855204045,0.1310285507454944,127,0.056977214609999605,0.14726479910873225,0.7000726283899014,-0.198990422912865,-0.1757229525443334,-0.2763119269635377,-0.3489886185024372,-0.1583841962208126,0.23168199836999084,0.3494094686546518,0.8690556766219465,True,True,False,False,False
Gemella morbillorum,C00431_5-Aminovalerate,346,0.08180977875834627,0.08359933816577314,0.32886058882512137,149,0.2169027901218919,0.1413847695781694,0.1302539419622081,127,-0.2533028322758024,0.13696739190393,0.06888354620197183,0.1599462700535694,0.1830810575202645,0.2847786087518981,0.3366390672243004,0.2577862489121067,0.3534024238120707,0.3494094686546518,0.19075443563622968,True,True,False,False,False
Peptostreptococcus stomatis,C08277_Sebacate,346,-0.23216498002107755,0.08911322206541665,0.009809182320510578,149,-0.21562400930238823,0.152070511171023,0.16138660432545485,127,0.007848539947740318,0.1670456582532314,0.962667543418955,-0.3679011813631206,-0.1730849184157903,-0.1892199437442133,-0.422373271023825,-0.2291670050227069,0.050447223362625825,0.4006839831528534,0.9901723303737823,True,True,False,False,False
Peptostreptococcus stomatis,C00079_Phe,346,0.21659665670468314,0.10156423987887855,0.03407003758316587,149,0.27735637859144013,0.19560264307942368,0.1613758503209947,127,0.17853202446837146,0.17841735521293728,0.3206542191988162,0.196736186345974,0.2721669463585174,0.3145193369461591,0.3322342212142208,0.2954194547604452,0.08785602431030304,0.4006839831528534,0.53690939028639,True,True,False,True,False
Gemella morbillorum,C06104_Adipate,346,-0.10002653758324587,0.07832987452686202,0.20295773447608967,149,-0.19224433627335724,0.14416640832310212,0.18741189421637394,127,-0.003523910306361566,0.11887869167248773,0.9764412992072042,-0.2567059061532915,-0.2310824162763397,-0.1742257996700717,-0.2316227914244572,-0.1515859096128563,0.25470097952026394,0.4497885461192974,0.9901939935622353,True,True,False,True,False
Parvimonas unclassified,C00025_Glu,346,-0.19068311377300767,0.09296544211854983,0.0414456941614378,149,-0.23344695918586034,0.18719932513487206,0.21722512400903354,127,-0.354770805631768,0.1437443733794792,0.016183787089185477,-0.2142633061968375,-0.3586077194369818,-0.2721470175527298,-0.2502821000949413,-0.2185994281349965,0.09506266374648144,0.5045228686661424,0.05296512138278883,True,True,False,True,False
Parvimonas unclassified,C02721_N-Methylalanine,346,-0.24802615055413657,0.08534609844404084,0.0040351554425830235,149,-0.21880468789855692,0.18093745362320102,0.2312974999913727,127,-0.49784750078439444,0.13432478027539926,0.00043251317645952785,-0.2082634197961911,-0.4484233867377807,-0.224920953197381,-0.2427942037782717,-0.3022682527265952,0.0264119265332707,0.5204193749805885,0.003460105411676223,True,True,False,True,False
