analysis,species,metabolite,n,r,p,q_bh
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C06104_Adipate,149,-0.07025139607092945,0.39457044495282967,0.4404507292496704
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C00041_Ala,149,0.34936310689412386,1.2595431736493653e-05,0.00011892867333142009
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C05341_beta-Ala-Lys,149,0.38581648320165307,1.1779389324735388e-06,2.827053437936493e-05
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C00576_Betaine aldehyde,149,-0.2155290329604622,0.008295236775208697,0.016943462349362445
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C00114_Choline,149,0.3021240720229461,0.00018058618326783648,0.0009124354523006474
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C00300_Creatine,149,0.356297279425526,8.204092007984508e-06,9.84491040958141e-05
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C02678_Dodecanedioate,149,-0.22677827743091414,0.005415855645738626,0.013298630939099753
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C01425_Glu-Glu,149,0.3297270095803237,4.019216791923142e-05,0.00032153734335385137
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C01921_Glycocholate,149,0.43360103015410606,3.3161788196631566e-08,3.1835316668766304e-06
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C07044_Hydroxyurea,149,-0.1899360926958624,0.020335411403375907,0.033658611978001504
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C00407_Ile,149,0.3227567728221084,5.955998060779692e-05,0.00043982754910373113
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C00123_Leu,149,0.28872678398730883,0.0003555673014186311,0.001424277212681729
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C01042_N-Acetylaspartate,149,-0.2450564448474866,0.0025938747412312733,0.007545817429036431
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C00624_N-Acetylglutamate,149,-0.23808279861730006,0.0034572056801699,0.009482621294180297
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C02997_N-Acetylhistidine,149,-0.04449279354748645,0.5900270916718123,0.6156804434836303
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C02721_N-Methylalanine,149,-0.26369208592706544,0.001156600749537378,0.0035817313534060734
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C01046_N-Methylglutamate,149,-0.29005229920692743,0.0003330017159869373,0.001424277212681729
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C00803_Valerate,149,-0.2114734510640685,0.009626307572037236,0.018859704630930094
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C00079_Phe,149,0.31451933694615913,9.365196720803255e-05,0.0005619118032481953
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C02656_Pimelate,149,-0.23172259168499282,0.00446179580634532,0.011898122150254186
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C00647_Pyridoxamine 5'-phosphate,149,-0.2886981911966829,0.0003560693031704323,0.001424277212681729
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C08277_Sebacate,149,-0.18921994374421336,0.020822289109088926,0.03388033482156842
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C00042_Succinate,149,0.35433950411063336,9.269163285498467e-06,9.887107504531698e-05
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C05122_Taurocholate,149,0.4066252934148267,2.6637657478035917e-07,1.2786075589457239e-05
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C00078_Trp,149,0.30249573744438274,0.0001771399634919025,0.0009124354523006474
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C00183_Val,149,0.30607476725190835,0.00014694714159102233,0.0008298191525140083
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,"C03283_2,4-Diaminobutyrate",149,-0.2763119269635377,0.0006470874925434191,0.002389246126314163
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C03264_2-Hydroxy-4-methylpentanoate,149,0.37450927211985563,2.534130463720661e-06,4.804482193304136e-05
CRC_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C05984_2-Hydroxybutyrate,149,0.3480716219969164,1.362724381922522e-05,0.00011892867333142009
