analysis,species,metabolite,n,r,p,q_bh
Healthy_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C06104_Adipate,127,-0.44878367028294563,1.2113831335053072e-07,8.945598524346884e-07
Healthy_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C00041_Ala,127,0.24097491051256906,0.006350019414670839,0.013854587813827285
Healthy_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C05341_beta-Ala-Lys,127,0.15173661407258668,0.08857689119097825,0.1104335266796612
Healthy_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C00576_Betaine aldehyde,127,-0.23390251188523975,0.008128022315269465,0.016500330406054323
Healthy_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C00114_Choline,127,0.09642578942433261,0.28083992088184073,0.3134957256355431
Healthy_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C00300_Creatine,127,0.2590219455223857,0.0032765756652274936,0.007671982045410717
Healthy_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C02678_Dodecanedioate,127,-0.18349939961640743,0.038917711956093684,0.05414638185195643
Healthy_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C01425_Glu-Glu,127,0.21681299534648932,0.014349324097009102,0.025046092969324977
Healthy_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C01921_Glycocholate,127,0.21871996873170035,0.013493684830530374,0.023988773032054
Healthy_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C07044_Hydroxyurea,127,-0.020987359101349256,0.8148275407482135,0.8321642969343457
Healthy_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C00407_Ile,127,0.16815796519308607,0.05878642735980659,0.07425653982291358
Healthy_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C00123_Leu,127,0.18840896562010487,0.033896187642484525,0.04924055997288208
Healthy_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C01042_N-Acetylaspartate,127,-0.17111448219877443,0.05441634348634109,0.0696529196625166
Healthy_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C00624_N-Acetylglutamate,127,-0.19203977740249853,0.03054467538166752,0.04654426724825527
Healthy_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C02997_N-Acetylhistidine,127,-0.012608123717551538,0.8881171663792475,0.8881171663792475
Healthy_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C02721_N-Methylalanine,127,-0.25063888665815426,0.004481155778717696,0.010242641779926162
Healthy_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C01046_N-Methylglutamate,127,-0.1978540818682979,0.02576424263495288,0.040547004802548796
Healthy_only_MetaPhlAn_CLR,Peptostreptococcus stomatis,C00803_Valerate,127,-0.2193765303703721,0.013209578670124188,0.023988773032054
