analysis,species,metabolite,n,r,p,q_bh,exact_taxon_match
mOTU_CLR,Peptostreptococcus stomatis,C06104_Adipate,346,-0.2718284189567124,2.821234654207141e-07,5.762521846891181e-07,True
mOTU_CLR,Peptostreptococcus stomatis,C00041_Ala,346,0.3141512535898989,2.31041154618744e-09,6.931234638562319e-09,True
mOTU_CLR,Peptostreptococcus stomatis,C05341_beta-Ala-Lys,346,0.31823616719589076,1.3930472246698263e-09,4.61146667476908e-09,True
mOTU_CLR,Peptostreptococcus stomatis,C00576_Betaine aldehyde,346,-0.30095538429657676,1.1246463691752211e-08,2.841211880021611e-08,True
mOTU_CLR,Peptostreptococcus stomatis,C00114_Choline,346,0.30217292175153204,9.750337449054017e-09,2.6743782717405303e-08,True
mOTU_CLR,Peptostreptococcus stomatis,C00300_Creatine,346,0.3470444814444971,3.147041943320948e-11,1.258816777328379e-10,True
mOTU_CLR,Peptostreptococcus stomatis,C02678_Dodecanedioate,346,-0.4172950447331265,5.19378356299811e-16,8.310053700796976e-15,True
mOTU_CLR,Peptostreptococcus stomatis,C01425_Glu-Glu,346,0.31528731904684837,2.008699002038819e-09,6.427836806524221e-09,True
mOTU_CLR,Peptostreptococcus stomatis,C01921_Glycocholate,346,0.3556997362184819,9.31755323498751e-12,5.261677120934123e-11,True
mOTU_CLR,Peptostreptococcus stomatis,C07044_Hydroxyurea,346,-0.1372537158828339,0.010590286435385432,0.011050733671706536,True
mOTU_CLR,Peptostreptococcus stomatis,C00407_Ile,346,0.26952982703110717,3.5824447803912265e-07,7.164889560782452e-07,True
mOTU_CLR,Peptostreptococcus stomatis,C00123_Leu,346,0.25240164327090703,1.9828734937125927e-06,3.281997506834636e-06,True
mOTU_CLR,Peptostreptococcus stomatis,C01042_N-Acetylaspartate,346,-0.23728726888537988,8.130838787286956e-06,1.2589685864186255e-05,True
mOTU_CLR,Peptostreptococcus stomatis,C00624_N-Acetylglutamate,346,-0.43922281058133106,9.451884868972385e-18,3.024603158071163e-16,True
mOTU_CLR,Peptostreptococcus stomatis,C02997_N-Acetylhistidine,346,-0.01205177440431697,0.8232453396797099,0.8232453396797098,True
mOTU_CLR,Peptostreptococcus stomatis,C02721_N-Methylalanine,346,-0.25778729917145216,1.172930251552954e-06,2.0852093360941405e-06,True
mOTU_CLR,Peptostreptococcus stomatis,C01046_N-Methylglutamate,346,-0.30537853670813386,6.674494212885241e-09,1.88456307187348e-08,True
