"dataset","specimen","design","contrast","metabolite","effect","effect_measure","q_value","identification_tier","direct_cirrhosis_contrast"
"MTBLS8764","serial_plasma","prospective_longitudinal","all_pre_hcc","taurocholate",1.72652729124078,"GEE_log2_group_beta",0.0644992863840137,"repository_named_metabolite",TRUE
"MTBLS8764","serial_plasma","prospective_longitudinal","all_pre_hcc","N-acetylglycine",-0.675751726264091,"GEE_log2_group_beta",0.0186930500373579,"repository_named_metabolite",TRUE
"MTBLS8764","serial_plasma","prospective_longitudinal","all_pre_hcc","gamma-glutamyltryptophan",0.530150778169009,"GEE_log2_group_beta",0.0646009313044567,"repository_named_metabolite",TRUE
"MTBLS8764","serial_plasma","prospective_longitudinal","within_12m","N-acetylglycine",-0.749248726746145,"GEE_log2_group_beta",0.0326570058969598,"repository_named_metabolite",TRUE
"MTBLS8764","serial_plasma","prospective_longitudinal","within_12m","1-palmitoleoyl-GPC (16:1)*",-0.561695934748217,"GEE_log2_group_beta",0.0961226461829578,"repository_named_metabolite",TRUE
"MTBLS8764","serial_plasma","prospective_longitudinal","within_12m","taurocholenate sulfate*",1.13739234154176,"GEE_log2_group_beta",0.0514949777984305,"repository_named_metabolite",TRUE
"ST001152","liver_tissue","patient_paired","paired_HCC_vs_all_adjacent","lactic acid",0.333526886381245,"median_paired_log2_difference",0.00386961943769037,"putative_level_2_GC_library_RI",FALSE
"ST001152","liver_tissue","patient_paired","paired_HCC_vs_cirrhotic_adjacent","lactic acid",0.197372294670641,"median_paired_log2_difference",0.873431579470848,"putative_level_2_GC_library_RI",TRUE
"ST001152","liver_tissue","patient_paired","paired_HCC_vs_all_adjacent","adenosine monophosphate",-0.113296232058778,"median_paired_log2_difference",NA,"level_1_authentic_standard",FALSE
"ST001152","liver_tissue","patient_paired","paired_HCC_vs_cirrhotic_adjacent","adenosine monophosphate",NA,"median_paired_log2_difference",NA,"level_1_authentic_standard",TRUE
"ST001152","liver_tissue","patient_paired","paired_HCC_vs_cirrhotic_adjacent","glucose",-1.34755513123408,"median_paired_log2_difference",0.214125795177531,"putative_level_2_GC_library_RI",TRUE
"ST001152","liver_tissue","patient_paired","paired_HCC_vs_all_adjacent","glucose",-1.73375580367261,"median_paired_log2_difference",8.94795776337591e-06,"putative_level_2_GC_library_RI",FALSE
"ST001152","liver_tissue","patient_paired","paired_HCC_vs_all_adjacent","malic acid",-1.32723102816812,"median_paired_log2_difference",8.94795776337591e-06,"putative_level_2_GC_library_RI",FALSE
