"feature_index","metabolite","inchikey","hmdb","kegg","high_coverage","converged_provided_area_gee","beta_group_provided_area_gee","q_group_provided_area_gee","converged_sample_median_scaled_gee","beta_group_sample_median_scaled_gee","q_group_sample_median_scaled_gee","converged_provided_area_mixed","beta_group_provided_area_mixed","q_group_provided_area_mixed","converged_sample_median_scaled_mixed","beta_group_sample_median_scaled_mixed","q_group_sample_median_scaled_mixed","window","direction_consistent_four_models","all_models_converged","longitudinal_promotion"
1,"S-1-pyrroline-5-carboxylate","DWAKNKKXGALPNW-UHFFFAOYSA-N","HMDB0001301","C04322","True","True",0.0313507598304574,0.956440210103992,"True",0.0504471046904139,0.885875227696011,"True",0.0283518925262091,0.955836362537739,"True",0.0467539799684533,0.903230361541508,"all_pre_hcc",TRUE,TRUE,FALSE
2,"spermidine","ATHGHQPFGPMSJY-UHFFFAOYSA-N","HMDB0001257","C00315","True","True",0.0756397699177539,0.90554580063907,"True",0.0847475547028655,0.861904588783398,"True",0.0697875710829142,0.898672361155325,"True",0.0833221097746897,0.834095177094358,"all_pre_hcc",TRUE,TRUE,FALSE
3,"1-methylnicotinamide","LDHMAVIPBRSVRG-UHFFFAOYSA-N","HMDB0000699","C02918","True","True",0.268151378659702,0.551133132243807,"True",0.293658003870141,0.442585802031708,"True",0.264891440730581,0.592616392626392,"True",0.29146348554452,0.429911191026672,"all_pre_hcc",TRUE,TRUE,FALSE
4,"12,13-DiHOME","CQSLTKIXAJTQGA-FLIBITNWSA-N","HMDB0004705","C14829","True","True",0.534502642380629,0.406379855998289,"True",0.534639110121558,0.254883172228831,"True",0.535360152870885,0.400679679038351,"False",NA,NA,"all_pre_hcc",FALSE,FALSE,FALSE
5,"5-hydroxyindoleacetate","DUUGKQCEGZLZNO-UHFFFAOYSA-N","HMDB0000763","C05635","True","True",-0.22472726503675,0.783988610368125,"True",-0.159127757163964,0.803122018361302,"True",-0.231675729320343,0.77724071408262,"True",-0.167784436396823,0.792658360858766,"all_pre_hcc",TRUE,TRUE,FALSE
6,"alpha-ketoglutarate","KPGXRSRHYNQIFN-UHFFFAOYSA-N","HMDB0000208","C00026","True","True",-0.110896320558576,0.746364717042608,"True",-0.0914881450584711,0.802404195772015,"True",-0.112532174745399,0.77207375928871,"True",-0.0882975435685388,0.815726931761999,"all_pre_hcc",TRUE,TRUE,FALSE
7,"kynurenate","HCZHHEIFKROPDY-UHFFFAOYSA-N","HMDB0000715","C01717","True","True",0.148527865320325,0.847523788250036,"True",0.175924833400293,0.626051992121949,"True",0.149091298543349,0.819817026435907,"True",0.176292095218978,0.594852092860176,"all_pre_hcc",TRUE,TRUE,FALSE
8,"3-hydroxyisobutyrate","DBXBTMSZEOQQDU-UHFFFAOYSA-N","HMDB0000023,HMDB0000336","C01188,C06001","True","True",0.11520629341477,0.824434621635099,"True",0.133611241428916,0.793134514945984,"True",0.114675100663789,0.857310545511072,"True",0.133224170859585,0.814622363708715,"all_pre_hcc",TRUE,TRUE,FALSE
9,"3-hydroxy-3-methylglutarate","NPOAOTPXWNWTSH-UHFFFAOYSA-N","HMDB0000355","C03761","True","True",-0.294217906203711,0.512575300864899,"True",-0.270615141682664,0.406892402493814,"True",-0.298910936850275,0.393238116684682,"True",-0.27124716523556,0.251810706045499,"all_pre_hcc",TRUE,TRUE,FALSE
10,"homovanillate (HVA)","QRMZSPFSDQBLIX-UHFFFAOYSA-N","HMDB0000118","C05582","False","True",-0.384487396585267,0.668924738478841,"True",-0.301204765359198,0.607349833121741,"False",NA,NA,"False",NA,NA,"all_pre_hcc",FALSE,FALSE,FALSE
11,"cholate","BHQCQFFYRZLCQQ-OLRQUHAPSA-N","HMDB0000619","C00695","True","True",0.00666504418281344,0.998692291231007,"True",0.0286251735321147,0.977079974410509,"True",0.0286447242109939,0.983107593731939,"True",0.0454033629308428,0.950245044942694,"all_pre_hcc",TRUE,TRUE,FALSE
12,"4-hydroxyphenylacetate","XQXPVVBIMDBYFF-UHFFFAOYSA-N","HMDB0000020","C00642","True","True",-0.120036954679823,0.90554580063907,"True",-0.0894286895593006,0.900065701889625,"False",NA,NA,"False",NA,NA,"all_pre_hcc",FALSE,FALSE,FALSE
13,"5,6-dihydrothymine","NBAKTGXDIBVZOO-UHFFFAOYSA-N","HMDB0000079","C00906","True","True",0.102244634802384,0.888814350796284,"True",0.125820694820559,0.790471361034666,"True",0.103314063106509,0.876139273059512,"True",0.12897003310689,0.789927255588574,"all_pre_hcc",TRUE,TRUE,FALSE
14,"hypoxanthine","FDGQSTZJBFJUBT-UHFFFAOYSA-N","HMDB0000157","C00262","True","True",0.0627177299396857,0.90256479624304,"True",0.0853781656947315,0.802404195772015,"True",0.0621928718335287,0.910272304804144,"True",0.0860895404329746,0.820605936240007,"all_pre_hcc",TRUE,TRUE,FALSE
15,"9,10-DiHOME","XEBKSQSGNGRGDW-YFHOEESVSA-N","HMDB0004704","C14828","True","True",0.5367942530565,0.372592375199139,"True",0.548986080243757,0.173412260368882,"True",0.535254024754209,0.393238116684682,"False",NA,NA,"all_pre_hcc",FALSE,FALSE,FALSE
16,"linoleate (18:2n6)","OYHQOLUKZRVURQ-HZJYTTRNSA-N","HMDB0006270,HMDB0000673","C01595","True","True",0.0853302374981865,0.892742468482161,"True",0.111954388311007,0.803122018361302,"False",NA,NA,"True",0.113411772079588,0.81380736817693,"all_pre_hcc",FALSE,FALSE,FALSE
17,"laurate (12:0)","POULHZVOKOAJMA-UHFFFAOYSA-N","HMDB0000638","C02679","True","True",0.207206888835823,0.782164390237068,"True",0.231171036199927,0.635669319223038,"False",NA,NA,"False",NA,NA,"all_pre_hcc",FALSE,FALSE,FALSE
