"dataset","role","contrast","program","GO_ID","effect","effect_measure","p_value","q_value","direction","independent_unit","n_units","significant_q05"
"PRJEB54571","discovery","HCC_vs_cirrhosis","cell_division","GO:0051301",2.62285737245769,"GSEA_NES",NA,3.34184941032773e-26,"higher_in_HCC","participant",22,TRUE
"TCGA-LIHC","paired_external_validation","tumour_vs_patient_matched_adjacent","cell_division","GO:0051301",1.04832316836497,"median_paired_program_score_difference",3.08306624674515e-09,3.08306624674515e-09,"higher_in_HCC","matched_patient_pair",50,TRUE
"GSE63898","direct_external_validation","primary_HCC_vs_non-tumour_cirrhosis","cell_division","GO:0051301",0.417124962212061,"processing_plate_adjusted_program_score_beta",9.07258427630306e-56,3.62903371052122e-55,"higher_in_HCC","participant",396,TRUE
"PRJEB54571","discovery","HCC_vs_cirrhosis","respiratory_electron_transport_chain","GO:0022904",-2.03962114155697,"GSEA_NES",NA,0.00057820221846293,"lower_in_HCC","participant",22,TRUE
"TCGA-LIHC","paired_external_validation","tumour_vs_patient_matched_adjacent","respiratory_electron_transport_chain","GO:0022904",0.658449973023569,"median_paired_program_score_difference",1.42521394685957e-09,2.85042789371914e-09,"higher_in_HCC","matched_patient_pair",50,TRUE
"GSE63898","direct_external_validation","primary_HCC_vs_non-tumour_cirrhosis","respiratory_electron_transport_chain","GO:0022904",0.2066832386158,"processing_plate_adjusted_program_score_beta",1.32892011887158e-05,1.32892011887158e-05,"higher_in_HCC","participant",396,TRUE
"PRJEB54571","discovery","HCC_vs_cirrhosis","ribosome_biogenesis","GO:0042254",2.55559670645156,"GSEA_NES",NA,8.4565282474311e-12,"higher_in_HCC","participant",22,TRUE
"TCGA-LIHC","paired_external_validation","tumour_vs_patient_matched_adjacent","ribosome_biogenesis","GO:0042254",1.28818516633166,"median_paired_program_score_difference",2.58371057881845e-09,3.08306624674515e-09,"higher_in_HCC","matched_patient_pair",50,TRUE
"GSE63898","direct_external_validation","primary_HCC_vs_non-tumour_cirrhosis","ribosome_biogenesis","GO:0042254",0.390876147228689,"processing_plate_adjusted_program_score_beta",1.73746128004104e-24,3.47492256008208e-24,"higher_in_HCC","participant",396,TRUE
"PRJEB54571","discovery","HCC_vs_cirrhosis","type_I_interferon_response","GO:0071357",2.30164285174146,"GSEA_NES",NA,0.000116875695804969,"higher_in_HCC","participant",22,TRUE
"TCGA-LIHC","paired_external_validation","tumour_vs_patient_matched_adjacent","type_I_interferon_response","GO:0071357",1.38794922657678,"median_paired_program_score_difference",8.79719408430901e-10,2.85042789371914e-09,"higher_in_HCC","matched_patient_pair",50,TRUE
"GSE63898","direct_external_validation","primary_HCC_vs_non-tumour_cirrhosis","type_I_interferon_response","GO:0071357",0.575042302987916,"processing_plate_adjusted_program_score_beta",5.40003045631213e-22,7.20004060841618e-22,"higher_in_HCC","participant",396,TRUE
