genus,PRJNA784025_discovery_estimate,PRJNA784025_discovery_se,PRJNA784025_discovery_p,PRJNA784025_discovery_hcc_n,PRJNA784025_discovery_cirrhosis_n,PRJNA784025_validation_estimate,PRJNA784025_validation_se,PRJNA784025_validation_p,PRJNA784025_validation_hcc_n,PRJNA784025_validation_cirrhosis_n,PRJEB54571_external_estimate,PRJEB54571_external_se,PRJEB54571_external_p,PRJEB54571_external_hcc_n,PRJEB54571_external_cirrhosis_n,age_adjusted_estimate,age_adjusted_se_hc3,age_adjusted_p_hc3,age_adjusted_n,random_estimate,random_se,random_ci_low,random_ci_high,random_p,hksj_se_modified,hksj_ci_low_modified,hksj_ci_high_modified,hksj_p_modified,hksj_df,hksj_scale,tau2_dl,q,q_p,i2_percent,three_cohort_direction_concordant,selected_in_discovery_q_lt_0_10,locked_validation_pass,external_age_adjusted_pass
Adlercreutzia,-0.9658584900552611,0.24756230056321538,0.00022193305476177053,30,59,-0.974979759275431,0.3059124503815286,0.0022612663179338932,25,40,0.6360764220990165,0.2701807189903235,0.025475976189735485,95,10,0.8040461660828122,0.32482733556726545,0.01331230805027792,104,-0.43317671634629834,0.5406726048507655,-1.4928950218537986,0.6265415891612021,0.42302676397170014,0.5406726048507655,-2.759503175479368,1.8931497427867714,0.5070835992060787,2,0.982414585754253,0.801227070565822,23.428163109697113,8.177847736652472e-06,91.46326585385526,False,True,True,False
Agathobacter,-0.3151304618202424,0.20060362288095943,0.1201422421315737,30,59,0.469553943976043,0.22481041637570026,0.04113099864361699,25,40,0.2573040108991047,0.9635726824157042,0.7942453108681987,95,10,0.40342153559191707,1.035885642324615,0.6969462382077021,104,0.08783322436649534,0.3355630988037784,-0.5698704492889103,0.7455368980219009,0.7935151470921742,0.3355630988037784,-1.3559782586868778,1.5316447074198687,0.8180066311998113,2,0.6294126853054759,0.20476636309112453,6.835592689657799,0.03278460135117223,70.74138131392783,False,False,False,False
Alistipes,0.13242437742157742,0.2545749858669329,0.6043436949981073,30,59,-0.09103300631928146,0.25556437940093535,0.7229623365290547,25,40,2.0437820020557047,1.1499722877851781,0.10481342798226821,95,10,1.4752687285396782,1.294482381534134,0.25442831993011694,104,0.12335458846910709,0.2670249808007094,-0.4000143739002834,0.6467235508384975,0.6441107350621547,0.3229856116791993,-1.2663403352749778,1.5130495122131922,0.7392819093834437,2,1.4630614480265967,0.08515349400712141,3.4030984290252855,0.18240072719910722,41.230027819887674,False,False,False,False
Allisonella,0.4331269439735408,0.2609528003254739,0.1030552687094759,30,59,0.33062293646051844,0.2862117885620454,0.25352478857015764,25,40,-0.48525771353907676,0.5571170132686527,0.40293636270051114,95,10,-0.3343804337525149,0.5448386620643723,0.539397882968689,104,0.2808726945719743,0.19786674533283036,-0.1069461262803732,0.6686915154243218,0.15575204597569206,0.20335564898857553,-0.5940960436478507,1.1558414327917994,0.301295514224034,2,1.056250340112993,0.014556028773219645,2.257060722910467,0.3235083475677524,11.38918064105022,False,True,False,False
Anaerostipes,-0.6938172031985075,0.1717741659568434,0.00011649846880889841,30,59,-1.2642789938912733,0.27145149244205014,2.7709286234989624e-05,25,40,-0.6952952364841796,1.1388679089767346,0.5544254759203721,95,10,-0.2710082859005102,1.1200140839514807,0.8088044620725349,104,-0.9126690938572114,0.2238773215778114,-1.3514686441497217,-0.47386954356470107,4.5689527099415e-05,0.2238773215778114,-1.8759354626610425,0.05059727494661981,0.055233786754179184,2,0.7673358137570373,0.05699286022345243,3.173416666416449,0.20459797288569875,36.9764449413294,True,True,True,False
Anaerotruncus,-0.3743722563493739,0.24791462796438507,0.1358868124696255,30,59,0.8954043000803611,0.33809336989468347,0.010664737684188026,25,40,0.6722496111968985,0.2895870155533214,0.026213354490517295,95,10,0.6497440596940006,0.3226917208974396,0.04406066116594695,104,0.3764118559587054,0.411996630182528,-0.4311015391990495,1.1839252511164604,0.360912094929455,0.411996630182528,-1.3962665695217606,2.1490902814391717,0.4573562868269092,2,0.917652631251426,0.4235936083192587,12.105618163787902,0.002351247873189726,83.47874538135778,False,False,False,False
Bacteroides,0.08507888861312374,0.22827195880348994,0.7102750196759748,30,59,0.0009528180693418875,0.22074642852750723,0.9965713740812161,25,40,-0.5978861152858652,0.34207161332197794,0.09775664035340602,95,10,-0.6902121119796158,0.4650304755803479,0.13774795392099834,104,-0.0959525395343506,0.17879038805292727,-0.4463817001180881,0.25447662104938684,0.5914913238770922,0.18801924216691634,-0.9049340450792331,0.713028966010532,0.6605641997092597,2,1.1059010280302808,0.031138085541412088,2.9461897673116786,0.2292149925736559,32.115710189810756,False,False,False,False
Barnesiella,0.24940654819376373,0.3194075421225415,0.4371122002045561,30,59,0.7150198763299092,0.3808746290105991,0.06510778735078623,25,40,0.8202875245565756,1.1046900144420544,0.47310238142798333,95,10,0.33166132687013405,1.3510978125316617,0.806088324355704,104,0.45937116604663053,0.23894491675459012,-0.008960870792366071,0.9277032028856271,0.054543103191784514,0.23894491675459012,-0.568725832274524,1.487468164367785,0.19447138047791795,2,0.49469408883100024,0.0,0.9893881776620005,0.6097574103703809,0.0,True,False,False,False
Bifidobacterium,-1.7955326659756512,0.2922100380323573,3.488246567490174e-08,30,59,-2.1450054003476335,0.3732515592256886,4.808537338426563e-07,25,40,-1.5155854007608425,0.8232660640466295,0.09014202973144833,95,10,-1.1852095141940837,0.8694433677218177,0.17282517124094043,104,-1.898427780266103,0.22159527118342476,-2.332754511785615,-1.4641010487465904,1.0612816623821193e-17,0.22159527118342476,-2.8518752787112223,-0.9449802818209836,0.013352603939118045,2,0.3883323626525055,0.0,0.776664725305011,0.6781869018044404,0.0,True,True,True,False
Bilophila,1.1497315111092765,0.24732519630003186,1.4022658086662369e-05,30,59,1.4517465920611545,0.25065282458449684,2.670317687900021e-07,25,40,0.21868112498965642,0.672715991714408,0.7510063171911338,95,10,0.22954600604279818,0.7334000312675757,0.7542891605719262,104,1.1849407587949847,0.23320193428601782,0.7278649675943898,1.6420165499955797,3.7509955222695997e-07,0.25620219155906765,0.08259169992922843,2.2872898176607412,0.04370694864247477,2,1.2069836416016626,0.05969264446126817,3.147995776879265,0.20721510131885365,36.467513244802355,True,True,True,False
