genus,omitted,random_estimate,random_se,random_ci_low,random_ci_high,random_p,hksj_se_modified,hksj_ci_low_modified,hksj_ci_high_modified,hksj_p_modified,hksj_df,hksj_scale,tau2_dl,q,q_p,i2_percent
Adlercreutzia,PRJNA784025_discovery,-0.1630630625848023,0.8055027564195776,-1.7418484651671742,1.4157223399975698,0.8395755894945394,0.8055027564195777,-10.397946001412349,10.071819876242744,0.8728433924110707,1,1.0000000000000002,1.2144609856661286,15.581109787127124,7.904031635662083e-05,93.58197192842974
Adlercreutzia,PRJNA784025_validation,-0.1685461538475769,0.8009591161809841,-1.738426021562306,1.401333713867152,0.8333317615422366,0.8009591161809841,-10.345696669554863,10.008604361859708,0.8679622660338456,1,1.0,1.2159553746022267,19.110108622745326,1.2338961964102567e-05,94.76716736811336
Adlercreutzia,PRJEB54571_external,-0.9694680839380616,0.19244147924722363,-1.34665338326262,-0.5922827846135033,4.7108697536032946e-07,0.19244147924722363,-3.414668919035133,1.4757327511590101,0.1247487548327589,1,0.0005372106287219585,0.0,0.0005372106287219585,0.9815084431691079,0.0
Agathobacter,PRJNA784025_discovery,0.45859692559587034,0.21893081471034914,0.029492528763586046,0.8877013224281547,0.03619663400706371,0.21893081471034914,-2.3231828292277057,3.240376680419446,0.2835496421394757,1,0.04601581222759761,0.0,0.04601581222759761,0.8301470575301404,0.0
Agathobacter,PRJNA784025_validation,-0.29135068960650923,0.1963927423090554,-0.6762804645322578,0.09357908531923936,0.13793883657355618,0.1963927423090554,-2.786757082134717,2.2040557029216985,0.3775888445665882,1,0.3382641133747246,0.0,0.3382641133747246,0.560832926391391,0.0
Agathobacter,PRJEB54571_external,0.07064992481012361,0.3922873267673011,-0.6982332356537866,0.8395330852740337,0.857076109326312,0.3922873267673011,-4.913833164602843,5.055133014223091,0.8865624588182133,1,1.0,0.26247403993794377,6.7825423345026605,0.009205368431866976,85.25626600348633
Alistipes,PRJNA784025_discovery,0.6819407633939051,1.025995884981654,-1.3290111711701367,2.6928926979579466,0.5062665253566743,1.025995884981654,-12.354573009919825,13.718454536707636,0.6265501410428553,1,0.9999999999999993,1.5848428526453169,3.2840475893791408,0.06995620471262344,69.54977134819617
Alistipes,PRJNA784025_validation,0.7591150864564353,0.8972674184492214,-0.9995290537040387,2.517759226616909,0.3975360507312683,0.8972674184492214,-10.641748435689262,12.159978608602131,0.5529753292542996,1,0.9999999999999999,1.133021641571994,2.633484925798949,0.10463183067233219,62.02750240931722
Alistipes,PRJEB54571_external,0.021129069983001562,0.180360484624521,-0.3323774798810596,0.37463561984706273,0.9067418946594359,0.180360484624521,-2.2705681740182757,2.3128263139842784,0.9257589530406871,1,0.38374268199946626,0.0,0.38374268199946626,0.5356069913002559,0.0
Allisonella,PRJNA784025_discovery,0.06269216957538658,0.38316136600325007,-0.6883041077909835,0.8136884469417567,0.8700317233340193,0.38316136600325007,-4.805834593952901,4.931218933103675,0.896752282935808,1,0.9999999999999998,0.13668234032924645,1.6968317146880294,0.19270284150329667,41.06663664146242
