feature,split,n,beta_feature_clr,se_hc3,ci_low,ci_high,p,covariates,q_within_split_candidates
Peptostreptococcus stomatis,discovery,165,1.0091998942634919,0.21433173199675112,0.5891096995498597,1.429290088977124,2.494382571963248e-06,age + sex + BMI + Brinkman index + alcohol,1.4966295431779489e-05
Parvimonas unclassified,discovery,165,0.7726091340131594,0.1913803526885258,0.3975036427436489,1.14771462528267,5.413105357181864e-05,age + sex + BMI + Brinkman index + alcohol,0.0001623931607154559
Gemella morbillorum,discovery,165,0.8267570326553657,0.23204577661390158,0.3719473104921186,1.2815667548186127,0.00036677358812739995,age + sex + BMI + Brinkman index + alcohol,0.0005501603821910999
Fusobacterium nucleatum,discovery,165,0.7440080955835636,0.19345158336711277,0.3648429921840226,1.1231731989831046,0.00012007870969269842,age + sex + BMI + Brinkman index + alcohol,0.00024015741938539684
Solobacterium moorei,discovery,165,0.586683267612965,0.181769335643779,0.23041536975115812,0.9429511654747718,0.0012482245374487826,age + sex + BMI + Brinkman index + alcohol,0.0014978694449385391
Actinomyces odontolyticus,discovery,165,0.5559243376549203,0.18200038969398774,0.19920357385470439,0.9126451014551362,0.002254188889860242,age + sex + BMI + Brinkman index + alcohol,0.002254188889860242
Peptostreptococcus stomatis,validation,112,0.6360696833832722,0.27152336941421384,0.10388387933141308,1.1682554874351312,0.019150083187643052,age + sex + BMI + Brinkman index + alcohol,0.032175724823707216
Parvimonas unclassified,validation,112,0.5271048444280471,0.22917999961299473,0.0779120451865774,0.9762976436695168,0.02145048321580481,age + sex + BMI + Brinkman index + alcohol,0.032175724823707216
Gemella morbillorum,validation,112,0.9276698404956119,0.34351598685012824,0.25437850626936054,1.600961174721863,0.006923235724734709,age + sex + BMI + Brinkman index + alcohol,0.022937789546884076
Fusobacterium nucleatum,validation,112,0.873278365117567,0.3273994250008769,0.23157549211584827,1.5149812381192858,0.007645929848961359,age + sex + BMI + Brinkman index + alcohol,0.022937789546884076
Solobacterium moorei,validation,112,0.3432131194999871,0.2163502583960357,-0.08083338695624281,0.767259625956217,0.11265376682534083,age + sex + BMI + Brinkman index + alcohol,0.135184520190409
Actinomyces odontolyticus,validation,112,-0.2538492066706591,0.21675879926785666,-0.6786964532356581,0.17099803989433998,0.24155306431322698,age + sex + BMI + Brinkman index + alcohol,0.24155306431322698
