patient,site,celltype,n_cells,total_cells,proportion
HCC01,Tumor,B,11,3368,0.0032660332541567696
HCC01,Tumor,Endothelial,436,3368,0.12945368171021376
HCC01,Tumor,Fibroblast,208,3368,0.06175771971496437
HCC01,Tumor,Hepatocyte,71,3368,0.021080760095011877
HCC01,Tumor,Myeloid,1530,3368,0.45427553444180524
HCC01,Tumor,T/NK,1112,3368,0.33016627078384797
HCC02,Tumor,B,1033,4101,0.25188978297976106
HCC02,Tumor,Endothelial,14,4101,0.003413801511826384
HCC02,Tumor,Fibroblast,13,4101,0.0031699585466959277
HCC02,Tumor,Hepatocyte,2157,4101,0.5259692757863935
HCC02,Tumor,Myeloid,503,4101,0.12265301146061935
HCC02,Tumor,T/NK,381,4101,0.09290416971470374
HCC03,Normal,B,121,2601,0.04652056901191849
HCC03,Normal,Endothelial,218,2601,0.08381391772395233
HCC03,Normal,Fibroblast,21,2601,0.008073817762399077
HCC03,Normal,Hepatocyte,827,2601,0.31795463283352554
HCC03,Normal,Myeloid,1000,2601,0.3844675124951942
HCC03,Normal,T/NK,414,2601,0.15916955017301038
HCC03,Tumor,B,71,4825,0.014715025906735752
HCC03,Tumor,Endothelial,20,4825,0.004145077720207254
HCC03,Tumor,Fibroblast,10,4825,0.002072538860103627
HCC03,Tumor,Hepatocyte,3474,4825,0.72
HCC03,Tumor,Myeloid,1047,4825,0.21699481865284975
HCC03,Tumor,T/NK,203,4825,0.04207253886010363
HCC04,Normal,B,188,3396,0.05535924617196702
HCC04,Normal,Endothelial,477,3396,0.14045936395759717
HCC04,Normal,Fibroblast,68,3396,0.020023557126030624
HCC04,Normal,Hepatocyte,326,3396,0.09599528857479388
HCC04,Normal,Myeloid,829,3396,0.24411071849234395
HCC04,Normal,T/NK,1508,3396,0.44405182567726736
HCC04,Tumor,B,24,3501,0.006855184233076264
HCC04,Tumor,Endothelial,30,3501,0.00856898029134533
HCC04,Tumor,Fibroblast,90,3501,0.02570694087403599
HCC04,Tumor,Hepatocyte,2454,3501,0.700942587832048
HCC04,Tumor,Myeloid,650,3501,0.1856612396458155
HCC04,Tumor,T/NK,253,3501,0.07226506712367894
