gene,expected_celltype,observed_celltype,n_cells,pct_detected,mean_log1p_cpm
ALB,Hepatocyte,B,3685,83.9348710990502,6.081947061418577
ALB,Hepatocyte,Endothelial,3644,88.44676180021955,6.410289140525358
ALB,Hepatocyte,Fibroblast,2266,71.84466019417476,5.029576423375802
ALB,Hepatocyte,Hepatocyte,20782,76.62400153979405,7.570117941547099
ALB,Hepatocyte,Myeloid,15947,81.15005957233336,5.794335321338018
ALB,Hepatocyte,T/NK,25591,60.56816849673713,4.247335085857714
APOA1,Hepatocyte,B,3685,47.16417910447761,2.774116305996869
APOA1,Hepatocyte,Endothelial,3644,73.1888035126235,4.904035519125258
APOA1,Hepatocyte,Fibroblast,2266,66.85789938217123,4.210510254747621
APOA1,Hepatocyte,Hepatocyte,20782,87.20527379462996,6.928035290717475
APOA1,Hepatocyte,Myeloid,15947,63.41631654856713,4.2105947951233
APOA1,Hepatocyte,T/NK,25591,40.5064280411082,2.6767619357890675
TTR,Hepatocyte,B,3685,57.58480325644505,3.2672778314542965
TTR,Hepatocyte,Endothelial,3644,61.77277716794731,3.9215518761492656
TTR,Hepatocyte,Fibroblast,2266,45.67519858781995,2.6959648176944273
TTR,Hepatocyte,Hepatocyte,20782,89.25031277066692,6.583167838491775
TTR,Hepatocyte,Myeloid,15947,56.44321816015552,3.5209826749985433
TTR,Hepatocyte,T/NK,25591,27.384627408073154,1.7434311156838773
CYP3A4,Hepatocyte,B,3685,3.9077340569877883,0.18293873444242084
CYP3A4,Hepatocyte,Endothelial,3644,9.604829857299672,0.46081781311741454
CYP3A4,Hepatocyte,Fibroblast,2266,6.884377758164166,0.3430736530360343
CYP3A4,Hepatocyte,Hepatocyte,20782,12.226927148493889,0.6355325326024412
CYP3A4,Hepatocyte,Myeloid,15947,4.721891264814699,0.23883409357264723
CYP3A4,Hepatocyte,T/NK,25591,2.36411238325974,0.13185615958083674
CD3D,T/NK,B,3685,13.487109905020352,0.6306966799667614
CD3D,T/NK,Endothelial,3644,15.148188803512625,0.7747030830488151
CD3D,T/NK,Fibroblast,2266,12.35657546337158,0.6309845970181793
CD3D,T/NK,Hepatocyte,20782,16.187084977384274,0.6698841572665634
CD3D,T/NK,Myeloid,15947,11.694989653226312,0.5937838348302936
CD3D,T/NK,T/NK,25591,68.76636317455356,4.594731431186005
CD3E,T/NK,B,3685,8.575305291723202,0.4113199012433413
CD3E,T/NK,Endothelial,3644,10.922063666300769,0.5457656598876727
CD3E,T/NK,Fibroblast,2266,7.237422771403354,0.3613740616320528
CD3E,T/NK,Hepatocyte,20782,6.68366855933019,0.26736137251378617
CD3E,T/NK,Myeloid,15947,7.305449300808929,0.3689210593980431
CD3E,T/NK,T/NK,25591,63.39338048532688,4.080916456853302
TRBC1,T/NK,B,3685,8.439620081411125,0.40424233716563207
TRBC1,T/NK,Endothelial,3644,10.510428100987927,0.524141644418353
TRBC1,T/NK,Fibroblast,2266,7.67872903795234,0.3861113222157053
TRBC1,T/NK,Hepatocyte,20782,7.958810509094409,0.3187655323224467
TRBC1,T/NK,Myeloid,15947,7.763215651846743,0.39300002405841955
TRBC1,T/NK,T/NK,25591,45.72701340314955,3.0205950794330167
NKG7,T/NK,B,3685,25.508819538670284,1.2343920844783765
NKG7,T/NK,Endothelial,3644,28.67727771679473,1.5345528879312413
NKG7,T/NK,Fibroblast,2266,16.76963812886143,0.861317281453824
NKG7,T/NK,Hepatocyte,20782,19.96920411894909,0.8310734027056144
NKG7,T/NK,Myeloid,15947,25.440521728224745,1.347383662872001
NKG7,T/NK,T/NK,25591,70.01680278222813,5.168742748605388
GNLY,T/NK,B,3685,7.761194029850746,0.37095698117603276
GNLY,T/NK,Endothelial,3644,14.132821075740946,0.7165941509617626
GNLY,T/NK,Fibroblast,2266,8.870255957634598,0.433749799256359
GNLY,T/NK,Hepatocyte,20782,9.25801174092965,0.37986171009804864
GNLY,T/NK,Myeloid,15947,10.10848435442403,0.5148166228220578
GNLY,T/NK,T/NK,25591,21.964753233558675,1.56047603909462
LYZ,Myeloid,B,3685,27.652645861601084,1.3590492636029077
LYZ,Myeloid,Endothelial,3644,27.0032930845225,1.398023282824432
LYZ,Myeloid,Fibroblast,2266,33.18623124448367,1.7262285970374376
LYZ,Myeloid,Hepatocyte,20782,47.08882686940622,2.4924075470306333
LYZ,Myeloid,Myeloid,15947,87.02577287264062,6.185710048602729
LYZ,Myeloid,T/NK,25591,14.786448360751828,0.8614387567296905
LST1,Myeloid,B,3685,15.386702849389417,0.7544079574262096
LST1,Myeloid,Endothelial,3644,19.78594950603732,1.012604566882007
LST1,Myeloid,Fibroblast,2266,13.54810238305384,0.6605541906269548
LST1,Myeloid,Hepatocyte,20782,12.823597343855258,0.5285784699477857
LST1,Myeloid,Myeloid,15947,85.89703392487615,5.530468964992127
LST1,Myeloid,T/NK,25591,15.044351529834707,0.8807479271458871
FCER1G,Myeloid,B,3685,28.9280868385346,1.4051063056099873
FCER1G,Myeloid,Endothelial,3644,33.260153677277714,1.7548373170121756
FCER1G,Myeloid,Fibroblast,2266,28.19947043248014,1.4464078291403282
FCER1G,Myeloid,Hepatocyte,20782,38.63920700606294,1.6839222046247113
FCER1G,Myeloid,Myeloid,15947,96.35668150749356,7.065054984450926
FCER1G,Myeloid,T/NK,25591,31.487632370755342,1.984803469830751
CTSS,Myeloid,B,3685,64.74898236092265,3.4226092361710982
CTSS,Myeloid,Endothelial,3644,39.270032930845225,2.080090846965634
CTSS,Myeloid,Fibroblast,2266,23.5216240070609,1.1934099042324842
CTSS,Myeloid,Hepatocyte,20782,40.939274372052736,1.8647730788302515
