"patient","site","celltype","n_cells"
"HCC01","Tumor","B",11
"HCC01","Tumor","Endothelial",436
"HCC01","Tumor","Fibroblast",208
"HCC01","Tumor","Hepatocyte",71
"HCC01","Tumor","Myeloid",1530
"HCC01","Tumor","T/NK",1112
"HCC02","Tumor","B",1033
"HCC02","Tumor","Endothelial",14
"HCC02","Tumor","Fibroblast",13
"HCC02","Tumor","Hepatocyte",2157
"HCC02","Tumor","Myeloid",503
"HCC02","Tumor","T/NK",381
"HCC03","Normal","B",121
"HCC03","Normal","Endothelial",218
"HCC03","Normal","Fibroblast",21
"HCC03","Normal","Hepatocyte",827
"HCC03","Normal","Myeloid",1000
"HCC03","Normal","T/NK",414
"HCC03","Tumor","B",71
"HCC03","Tumor","Endothelial",20
"HCC03","Tumor","Fibroblast",10
"HCC03","Tumor","Hepatocyte",3474
"HCC03","Tumor","Myeloid",1047
"HCC03","Tumor","T/NK",203
"HCC04","Normal","B",188
"HCC04","Normal","Endothelial",477
"HCC04","Normal","Fibroblast",68
"HCC04","Normal","Hepatocyte",326
"HCC04","Normal","Myeloid",829
"HCC04","Normal","T/NK",1508
"HCC04","Tumor","B",24
"HCC04","Tumor","Endothelial",30
"HCC04","Tumor","Fibroblast",90
"HCC04","Tumor","Hepatocyte",2454
"HCC04","Tumor","Myeloid",650
"HCC04","Tumor","T/NK",253
"HCC05","Normal","B",190
"HCC05","Normal","Endothelial",348
"HCC05","Normal","Fibroblast",27
"HCC05","Normal","Hepatocyte",53
"HCC05","Normal","Myeloid",856
"HCC05","Normal","T/NK",3182
"HCC05","Tumor","B",75
"HCC05","Tumor","Endothelial",523
"HCC05","Tumor","Fibroblast",172
"HCC05","Tumor","Hepatocyte",1226
"HCC05","Tumor","Myeloid",971
"HCC05","Tumor","T/NK",386
"HCC06","Normal","B",183
"HCC06","Normal","Endothelial",219
"HCC06","Normal","Fibroblast",87
"HCC06","Normal","Hepatocyte",248
"HCC06","Normal","Myeloid",1003
"HCC06","Normal","T/NK",2725
"HCC06","Tumor","B",445
"HCC06","Tumor","Endothelial",554
"HCC06","Tumor","Fibroblast",568
"HCC06","Tumor","Hepatocyte",239
"HCC06","Tumor","Myeloid",851
"HCC06","Tumor","T/NK",1651
"HCC07","Normal","B",173
"HCC07","Normal","Endothelial",172
"HCC07","Normal","Fibroblast",20
"HCC07","Normal","Hepatocyte",53
"HCC07","Normal","Myeloid",836
"HCC07","Normal","T/NK",2486
"HCC07","PVTT","B",139
"HCC07","PVTT","Endothelial",28
"HCC07","PVTT","Fibroblast",87
"HCC07","PVTT","Hepatocyte",150
"HCC07","PVTT","Myeloid",1189
"HCC07","PVTT","T/NK",236
"HCC07","Tumor","B",75
"HCC07","Tumor","Fibroblast",11
"HCC07","Tumor","Hepatocyte",85
"HCC07","Tumor","Myeloid",237
"HCC07","Tumor","T/NK",102
"HCC08","Normal","B",156
"HCC08","Normal","Endothelial",136
"HCC08","Normal","Fibroblast",61
"HCC08","Normal","Hepatocyte",42
"HCC08","Normal","Myeloid",331
"HCC08","Normal","T/NK",4069
"HCC08","PVTT","B",39
"HCC08","PVTT","Endothelial",51
"HCC08","PVTT","Fibroblast",103
"HCC08","PVTT","Hepatocyte",3179
"HCC08","PVTT","Myeloid",422
"HCC08","PVTT","T/NK",348
"HCC08","Tumor","B",77
"HCC08","Tumor","Endothelial",42
"HCC08","Tumor","Fibroblast",346
"HCC08","Tumor","Hepatocyte",1842
"HCC08","Tumor","Myeloid",1188
"HCC08","Tumor","T/NK",1338
"HCC09","Normal","B",279
"HCC09","Normal","Endothelial",147
"HCC09","Normal","Fibroblast",69
"HCC09","Normal","Hepatocyte",140
"HCC09","Normal","Myeloid",335
"HCC09","Normal","T/NK",992
"HCC09","Tumor","B",57
"HCC09","Tumor","Endothelial",50
"HCC09","Tumor","Fibroblast",142
"HCC09","Tumor","Hepatocyte",1489
"HCC09","Tumor","Myeloid",437
"HCC09","Tumor","T/NK",641
"HCC10","Lymph","B",249
"HCC10","Lymph","Endothelial",28
"HCC10","Lymph","Fibroblast",66
"HCC10","Lymph","Hepatocyte",1463
"HCC10","Lymph","Myeloid",552
"HCC10","Lymph","T/NK",485
"HCC10","Normal","B",67
"HCC10","Normal","Endothelial",142
"HCC10","Normal","Fibroblast",64
"HCC10","Normal","Hepatocyte",99
"HCC10","Normal","Myeloid",385
"HCC10","Normal","T/NK",2315
"HCC10","Tumor","B",33
"HCC10","Tumor","Endothelial",9
"HCC10","Tumor","Fibroblast",33
"HCC10","Tumor","Hepatocyte",1165
"HCC10","Tumor","Myeloid",795
"HCC10","Tumor","T/NK",764
