celltype,gene,paired_n,median_difference,mean_difference,t_p,wilcoxon_p,t_q_within_celltype
B,ARNT,8,0.06666956224988152,-0.09393862946706796,0.8900017107033128,0.9453125,0.9456268176222699
B,CHKB,8,0.27427727127167034,0.2731743564912352,0.3214460321104491,0.21875,0.6588541299726104
B,GPCPD1,8,-0.12618431255123141,-0.08821794517030787,0.7853935779473256,0.84375,0.8901127216736355
B,IFI27,8,-0.4683139076306517,-0.3134676854970653,0.7069668005209238,0.7421875,0.8901127216736355
B,IFI6,8,0.7231314364512915,0.7477493520041711,0.025427614474009645,0.0234375,0.19199950064408966
B,IRF7,8,0.04544522916801752,-0.2579604067395652,0.37243662449586584,0.7421875,0.6588541299726104
B,ISG15,8,-0.3369327430510727,-0.28964185345664883,0.38756125292506494,0.3125,0.6588541299726104
B,LPCAT1,8,-0.9074310933964271,-1.374938817946174,0.03446102180072584,0.0078125,0.19199950064408966
B,MX1,8,-0.8465964989016612,-0.6425817126487146,0.06685488763093062,0.0546875,0.2273066179451641
B,OAS1,8,0.2552855953312201,0.45344430870772867,0.32789073587277656,0.3828125,0.6588541299726104
B,PCNA,8,1.0400842965933261,0.9575232070115286,0.04517635309272698,0.0546875,0.19199950064408966
B,PCYT1A,8,0.6257730724061963,0.7571716685981473,0.00851333999220237,0.0078125,0.1447267798674403
B,PEMT,8,0.21405943892302992,-0.2093571911753021,0.7623524668946817,1.0,0.8901127216736355
B,SLC44A1,8,0.3226644355285604,0.30792894324286824,0.487984122756712,0.4609375,0.6913108405720086
B,STAT1,8,-0.2468765204689709,0.01015904271291812,0.9757021739124863,0.9453125,0.9757021739124864
B,STAT2,8,0.1810551861629015,0.33698766604964714,0.471787041472021,0.640625,0.6913108405720086
B,TDO2,8,1.4465579694374486,2.5455202717413776,0.1509953448421579,0.25,0.4278201437194474
Endothelial,AHR,6,-1.2247175803388712,-1.111632323774104,0.02387408839311423,0.0625,0.21544076217466512
Endothelial,ARNT,6,-0.4927374126587698,-1.1735156132837066,0.2543316960143261,0.15625,0.4132890060232799
Endothelial,CDK1,6,0.7550556042398187,0.9250331147715459,0.271305504768931,0.4375,0.41493783082307095
Endothelial,CHKA,6,-0.685126897827518,-1.1887504933106081,0.11739924250547236,0.09375,0.22710341881307444
Endothelial,CHKB,6,0.6855013850128182,0.51826395034223,0.12967947958922996,0.15625,0.22710341881307444
Endothelial,CYP1B1,6,-2.1605338669249026,-2.567861151652376,0.11583395107976711,0.09375,0.22710341881307444
Endothelial,GPCPD1,6,-0.1883040000304268,-0.1785950208873143,0.4355856195089823,0.3125,0.5404196628380777
Endothelial,IFI27,6,-0.46922337906491673,-0.46966439485606,0.09789046768804074,0.09375,0.22710341881307444
Endothelial,IFI6,6,-0.5039800470660389,-0.7073255178634333,0.09420208358003898,0.15625,0.22710341881307444
Endothelial,IFIT1,6,-0.466743910176157,-0.3443182591986517,0.3707970505797459,0.4375,0.5074064902670207
Endothelial,IFIT2,6,-1.760043196604035,-2.197633171710884,0.04780259861886755,0.03125,0.21544076217466512
Endothelial,IFIT3,6,-0.9994796251654114,-1.2941366121300044,0.03610120840714224,0.03125,0.21544076217466512
Endothelial,IRF7,6,-0.6157836471463323,-1.173632058287802,0.04971709896338426,0.03125,0.21544076217466512
Endothelial,ISG15,6,-0.17129775411407522,-0.15589144490170156,0.6546601929161595,0.6875,0.7092152089925062
Endothelial,LPCAT1,6,-1.0614397008916598,-1.6438832290615908,0.1310212031613891,0.0625,0.22710341881307444
Endothelial,LPCAT2,6,0.42082205148032603,0.28525687077231715,0.3316897482471932,0.3125,0.4791074141348346
Endothelial,MX1,6,-1.3303911348391775,-1.5496392835452053,0.031082840227859555,0.03125,0.21544076217466512
Endothelial,OAS1,6,-0.741566695050643,-0.5787051765405047,0.0938307798401901,0.15625,0.22710341881307444
Endothelial,OAS2,6,-0.7155327355585033,-1.4976920653527508,0.12093553186339141,0.03125,0.22710341881307444
Endothelial,PCNA,6,0.4322642520927178,-0.12601898715465998,0.8392240691887853,0.5625,0.8392240691887853
Endothelial,PCYT1A,6,-0.06531293675000827,-0.10946699987095536,0.43649280459998585,0.5625,0.5404196628380777
Endothelial,PEMT,6,0.08415252601242651,0.22233608426918203,0.554165970789042,0.4375,0.6549234200234132
Endothelial,SLC44A1,6,-0.2019737139282669,0.07354719880421134,0.7832072842437455,1.0,0.8145355756134954
Endothelial,STAT1,6,-0.5751738074740054,-0.5474686642652166,0.11052818065814134,0.15625,0.22710341881307444
Endothelial,STAT2,6,-0.8200620721982625,-0.7454571408277307,0.03352810184066285,0.0625,0.21544076217466512
Endothelial,TDO2,6,0.7979869007751932,0.7874874912101738,0.6361990161576951,0.5625,0.7092152089925062
Fibroblast,AHR,6,-0.6359075913114791,-0.5085324683753008,0.3396476409403639,0.4375,0.5183141346983672
Fibroblast,ARNT,6,0.40792447511222973,0.4837520799121327,0.010330617703344706,0.03125,0.11928739248961179
Fibroblast,CHKB,6,-0.4242888971811596,-0.45659164654918505,0.18431826347777625,0.15625,0.40214893849696637
