celltype,program,genes_detected,paired_n,donors,mean_tumor_minus_normal,mean_difference_ci95_low,mean_difference_ci95_high,exact_signflip_p_two_sided,permutations,exact_signflip_q_global_bh,exact_signflip_global_fdr_pass
B,choline_phospholipid_metabolism,6,8,HCC03;HCC04;HCC05;HCC06;HCC07;HCC08;HCC09;HCC10,0.0929002374712,-0.347611142748,0.53341161769,0.625,256,0.808823529412,false
B,type_i_interferon_response,8,8,HCC03;HCC04;HCC05;HCC06;HCC07;HCC08;HCC09;HCC10,0.0844105000925,-0.523095325801,0.691916325986,0.7421875,256,0.83359375,false
Endothelial,ahr_aromatic_response,4,6,HCC03;HCC04;HCC05;HCC06;HCC08;HCC09,-0.718455801104,-1.63603865881,0.199127056598,0.125,64,0.25,false
Endothelial,choline_phospholipid_metabolism,8,6,HCC03;HCC04;HCC05;HCC06;HCC08;HCC09,-0.106365454144,-0.758776683315,0.546045775026,0.75,64,0.83359375,false
Endothelial,type_i_interferon_response,12,6,HCC03;HCC04;HCC05;HCC06;HCC08;HCC09,-0.841066467442,-1.4617781453,-0.220354789589,0.03125,64,0.114583333333,false
Fibroblast,ahr_aromatic_response,4,6,HCC04;HCC05;HCC06;HCC08;HCC09;HCC10,0.268543828372,-0.561233933942,1.09832159069,0.375,64,0.61875,false
Fibroblast,choline_phospholipid_metabolism,7,6,HCC04;HCC05;HCC06;HCC08;HCC09;HCC10,-0.0149122764873,-0.395396642408,0.365572089433,0.90625,64,0.9375,false
Fibroblast,type_i_interferon_response,11,6,HCC04;HCC05;HCC06;HCC08;HCC09;HCC10,0.218979012553,-0.368638328288,0.806596353393,0.40625,64,0.61875,false
Hepatocyte,ahr_aromatic_response,3,8,HCC03;HCC04;HCC05;HCC06;HCC07;HCC08;HCC09;HCC10,-0.133345414512,-1.06581856665,0.799127737624,0.7578125,256,0.83359375,false
Hepatocyte,cell_cycle,7,8,HCC03;HCC04;HCC05;HCC06;HCC07;HCC08;HCC09;HCC10,0.926006902076,0.101329435623,1.75068436853,0.0390625,256,0.122767857143,false
Hepatocyte,choline_phospholipid_metabolism,7,8,HCC03;HCC04;HCC05;HCC06;HCC07;HCC08;HCC09;HCC10,-0.374258535962,-0.94653759173,0.198020519806,0.171875,256,0.315104166667,false
Hepatocyte,hepatocyte_bile_acid_receptor_response,4,8,HCC03;HCC04;HCC05;HCC06;HCC07;HCC08;HCC09;HCC10,0.136883506832,-0.288379581497,0.56214659516,0.453125,256,0.623046875,false
Hepatocyte,hepatocyte_bile_acid_synthesis_transport,8,8,HCC03;HCC04;HCC05;HCC06;HCC07;HCC08;HCC09;HCC10,-0.0332151022842,-0.616086594433,0.549656389864,0.9375,256,0.9375,false
Hepatocyte,type_i_interferon_response,11,8,HCC03;HCC04;HCC05;HCC06;HCC07;HCC08;HCC09;HCC10,-0.752856017534,-1.09484619694,-0.410865838124,0.0078125,256,0.0859375,false
Myeloid,ahr_aromatic_response,5,8,HCC03;HCC04;HCC05;HCC06;HCC07;HCC08;HCC09;HCC10,-0.31904059551,-0.698301928762,0.0602207377428,0.1015625,256,0.240625,false
Myeloid,cell_cycle,3,8,HCC03;HCC04;HCC05;HCC06;HCC07;HCC08;HCC09;HCC10,1.23704516712,0.608042120791,1.86604821344,0.015625,256,0.0859375,false
Myeloid,choline_phospholipid_metabolism,8,8,HCC03;HCC04;HCC05;HCC06;HCC07;HCC08;HCC09;HCC10,-0.443897220481,-0.832073266059,-0.0557211749029,0.03125,256,0.114583333333,false
Myeloid,type_i_interferon_response,12,8,HCC03;HCC04;HCC05;HCC06;HCC07;HCC08;HCC09;HCC10,-0.729871631506,-1.31170148913,-0.148041773885,0.0078125,256,0.0859375,false
T/NK,ahr_aromatic_response,3,8,HCC03;HCC04;HCC05;HCC06;HCC07;HCC08;HCC09;HCC10,0.814286106321,-0.21912372391,1.84769593655,0.109375,256,0.240625,false
T/NK,cell_cycle,7,8,HCC03;HCC04;HCC05;HCC06;HCC07;HCC08;HCC09;HCC10,1.25364887546,0.660383424207,1.8469143267,0.015625,256,0.0859375,false
T/NK,choline_phospholipid_metabolism,7,8,HCC03;HCC04;HCC05;HCC06;HCC07;HCC08;HCC09;HCC10,-0.365872806362,-0.764793608838,0.0330479961146,0.0703125,256,0.193359375,false
T/NK,type_i_interferon_response,12,8,HCC03;HCC04;HCC05;HCC06;HCC07;HCC08;HCC09;HCC10,-0.188866652915,-0.747624956582,0.369891650751,0.421875,256,0.61875,false
