celltype,program,genes_detected,omitted_patient,retained_n,mean_difference,median_difference,paired_t_p
B,choline_phospholipid_metabolism,6,HCC03,7,0.07618211767713065,0.1845219023800519,0.7343179760643985
B,choline_phospholipid_metabolism,6,HCC04,7,0.07981142819852824,0.20992707602983504,0.7227183582150356
B,choline_phospholipid_metabolism,6,HCC05,7,0.05425527042319981,0.1845219023800519,0.8051554560568066
B,choline_phospholipid_metabolism,6,HCC06,7,0.10840755638046683,0.20992707602983504,0.6310944942083995
B,choline_phospholipid_metabolism,6,HCC07,7,0.20686508208930982,0.20992707602983504,0.269763755427594
B,choline_phospholipid_metabolism,6,HCC08,7,-0.010812154768964022,0.1845219023800519,0.9537172015054214
B,choline_phospholipid_metabolism,6,HCC09,7,0.03417633214051152,0.1845219023800519,0.8725457518070744
B,choline_phospholipid_metabolism,6,HCC10,7,0.19431626762956666,0.20992707602983504,0.3229124157717676
B,type_i_interferon_response,8,HCC03,7,0.04909738988546443,0.1571433431308567,0.8727906908602664
B,type_i_interferon_response,8,HCC04,7,0.1519259091893404,0.17547275513865743,0.6146350934026739
B,type_i_interferon_response,8,HCC05,7,0.07140160651444827,0.1571433431308567,0.8175831438770618
B,type_i_interferon_response,8,HCC06,7,0.07402009394413407,0.17547275513865743,0.8111362133730606
B,type_i_interferon_response,8,HCC07,7,0.2781436497399314,0.17547275513865743,0.2033357221235231
B,type_i_interferon_response,8,HCC08,7,0.11913243177572054,0.17547275513865743,0.6993136093742931
B,type_i_interferon_response,8,HCC09,7,0.0009089512016164607,0.1571433431308567,0.997520006882505
B,type_i_interferon_response,8,HCC10,7,-0.0693460315108603,0.1571433431308567,0.7802808905303873
Endothelial,ahr_aromatic_response,4,HCC03,5,-0.5821086551089822,-0.3736449997278623,0.22308723753943444
Endothelial,ahr_aromatic_response,4,HCC04,5,-0.45779713266170646,-0.3736449997278623,0.20011442221550618
Endothelial,ahr_aromatic_response,4,HCC05,5,-0.9183104885516528,-0.8080616205163745,0.06431236017558735
Endothelial,ahr_aromatic_response,4,HCC06,5,-0.8645659317011555,-0.8080616205163745,0.09607896908688889
Endothelial,ahr_aromatic_response,4,HCC08,5,-0.7005346372216084,-0.3736449997278623,0.183889197785076
Endothelial,ahr_aromatic_response,4,HCC09,5,-0.7874179613793109,-0.8080616205163745,0.14029359172236508
Endothelial,choline_phospholipid_metabolism,8,HCC03,5,0.11591516637933344,0.2469153960308155,0.482857294420171
Endothelial,choline_phospholipid_metabolism,8,HCC04,5,-0.17702162417920256,0.0396941867137411,0.5851222653346104
Endothelial,choline_phospholipid_metabolism,8,HCC05,5,-0.19913071015588363,0.0396941867137411,0.5291353114070491
Endothelial,choline_phospholipid_metabolism,8,HCC06,5,-0.20180410288051345,0.0396941867137411,0.5221356098662185
Endothelial,choline_phospholipid_metabolism,8,HCC08,5,-0.13557738231578767,0.2469153960308155,0.6832775413843398
Endothelial,choline_phospholipid_metabolism,8,HCC09,5,-0.04057407171314338,0.2469153960308155,0.8990208508233288
Endothelial,type_i_interferon_response,12,HCC03,5,-0.6422758800801582,-0.531003301483394,0.01868457862034134
Endothelial,type_i_interferon_response,12,HCC04,5,-0.9030791006338703,-0.8123692007117105,0.034195858761159305
Endothelial,type_i_interferon_response,12,HCC05,5,-0.9082571238088892,-0.8123692007117105,0.03298068418967232
Endothelial,type_i_interferon_response,12,HCC06,5,-0.846805920788207,-0.531003301483394,0.045735508476741786
Endothelial,type_i_interferon_response,12,HCC08,5,-0.9730371938317213,-0.8123692007117105,0.01711844682334478
Endothelial,type_i_interferon_response,12,HCC09,5,-0.7729435855098995,-0.531003301483394,0.05275268022235675
Fibroblast,ahr_aromatic_response,4,HCC04,5,0.5439898998902378,0.49056313352402736,0.057640761930878796
Fibroblast,ahr_aromatic_response,4,HCC05,5,0.22413996734113972,0.14960865638763746,0.597692974454187
Fibroblast,ahr_aromatic_response,4,HCC06,5,0.31042301218802815,0.49056313352402736,0.4727395248486247
Fibroblast,ahr_aromatic_response,4,HCC08,5,0.2923308627684177,0.49056313352402736,0.4995913504546659
Fibroblast,ahr_aromatic_response,4,HCC09,5,0.09947619645729233,0.14960865638763746,0.7824065043293835
Fibroblast,ahr_aromatic_response,4,HCC10,5,0.14090303158461018,0.14960865638763746,0.7177596404220861
Fibroblast,choline_phospholipid_metabolism,7,HCC04,5,0.11181375809261093,0.1392420055813086,0.29853341997556737
Fibroblast,choline_phospholipid_metabolism,7,HCC05,5,-0.07703538751921135,-0.02678816398255615,0.6640255310087189
Fibroblast,choline_phospholipid_metabolism,7,HCC06,5,-0.012537098988266465,0.1392420055813086,0.94817602445629
Fibroblast,choline_phospholipid_metabolism,7,HCC08,5,-0.045743132901039416,-0.02678816398255615,0.8091428130165064
