celltype,program,genes_detected,genes,paired_n,median_difference,mean_difference,t_p,wilcoxon_p,t_q_all_modules,wilcoxon_q_all_modules_sensitivity
B,choline_phospholipid_metabolism,6,CHKB;PCYT1A;PEMT;GPCPD1;LPCAT1;SLC44A1,8,0.19722448920494345,0.0929002374712187,0.633290858151737,0.640625,0.819552875255189,0.7417763157894737
B,type_i_interferon_response,8,STAT1;STAT2;IRF7;ISG15;MX1;OAS1;IFI6;IFI27,8,0.16630804913475705,0.0844105000924744,0.7521022265807077,0.7421875,0.8273124492387784,0.81640625
Endothelial,ahr_aromatic_response,4,AHR;ARNT;CYP1B1;TDO2,6,-0.5908533101221184,-0.7184558011040694,0.10029584847346465,0.15625,0.2094273494957923,0.3125
Endothelial,choline_phospholipid_metabolism,8,CHKA;CHKB;PCYT1A;PEMT;GPCPD1;LPCAT1;LPCAT2;SLC44A1,6,0.1433047913722783,-0.10636545414419955,0.6925436116856142,1.0,0.8273124492387784,1.0
Endothelial,type_i_interferon_response,12,STAT1;STAT2;IRF7;ISG15;IFIT1;IFIT2;IFIT3;MX1;OAS1;OAS2;IFI6;IFI27,6,-0.6716862510975523,-0.8410664674421242,0.017599233320076874,0.03125,0.09203804488824832,0.12276785714285714
Fibroblast,ahr_aromatic_response,4,AHR;ARNT;CYP1B1;TDO2,6,0.3200858949558324,0.268543828371621,0.44335547384014895,0.3125,0.6482302170430931,0.49107142857142855
Fibroblast,choline_phospholipid_metabolism,7,CHKB;PCYT1A;PEMT;GPCPD1;LPCAT1;LPCAT2;SLC44A1,6,0.05622692079937622,-0.014912276487314751,0.9236652906057014,1.0,0.9236652906057014,1.0
Fibroblast,type_i_interferon_response,11,STAT1;STAT2;IRF7;ISG15;IFIT1;IFIT2;IFIT3;MX1;OAS1;IFI6;IFI27,6,0.3520449482761515,0.21897901255250987,0.38208621318391234,0.4375,0.6466074376958517,0.6337890625
Hepatocyte,hepatocyte_bile_acid_synthesis_transport,8,CYP8B1;CYP27A1;BAAT;SLC10A1;ABCC2;ABCC3;SLC51A;NR1H4,8,0.030417747425053515,-0.0332151022842444,0.89660318133816,0.4609375,0.9236652906057014,0.6337890625
Hepatocyte,hepatocyte_bile_acid_receptor_response,4,NR1H4;KLB;FGFR4;NR0B2,8,0.2314074575054264,0.13688350683150852,0.4714401578495223,0.546875,0.6482302170430931,0.7077205882352942
Hepatocyte,ahr_aromatic_response,3,AHR;ARNT;TDO2,8,-0.3286603490145873,-0.1333454145120629,0.7451684941748238,0.640625,0.8273124492387784,0.7417763157894737
Hepatocyte,choline_phospholipid_metabolism,7,CHKA;CHKB;PCYT1A;PEMT;GPCPD1;LPCAT1;SLC44A1,8,-0.361407423819982,-0.3742585359619186,0.1659252369702815,0.1953125,0.3041962677788494,0.3580729166666667
Hepatocyte,type_i_interferon_response,11,STAT1;STAT2;IRF7;ISG15;IFIT1;IFIT2;IFIT3;MX1;OAS1;IFI6;IFI27,8,-0.7265291331590875,-0.7528560175337665,0.0012454959724878297,0.0078125,0.017164672095522384,0.0859375
Hepatocyte,cell_cycle,7,MKI67;PCNA;TOP2A;CDK1;CCNB1;CCNB2;AURKB,8,1.2076767826632098,0.9260069020759858,0.03269548947486413,0.0390625,0.10275725263528726,0.12276785714285714
Myeloid,ahr_aromatic_response,5,AHR;ARNT;CYP1B1;IDO1;TDO2,8,-0.2519467718568451,-0.31904059550964814,0.08699908871052268,0.1484375,0.2094273494957923,0.3125
Myeloid,choline_phospholipid_metabolism,8,CHKA;CHKB;PCYT1A;PEMT;GPCPD1;LPCAT1;LPCAT2;SLC44A1,8,-0.41231434492365787,-0.4438972204808394,0.03045972643288324,0.0390625,0.10275725263528726,0.12276785714285714
Myeloid,type_i_interferon_response,12,STAT1;STAT2;IRF7;ISG15;IFIT1;IFIT2;IFIT3;MX1;OAS1;OAS2;IFI6;IFI27,8,-0.4322963597914266,-0.7298716315061085,0.02091773747460189,0.0078125,0.09203804488824832,0.0859375
Myeloid,cell_cycle,3,PCNA;TOP2A;CDK1,8,1.479623914772511,1.237045167117004,0.0023406371039348707,0.015625,0.017164672095522384,0.0859375
T/NK,ahr_aromatic_response,3,AHR;ARNT;TDO2,8,0.6146115149543963,0.8142861063206269,0.10471367474789615,0.109375,0.2094273494957923,0.2673611111111111
T/NK,choline_phospholipid_metabolism,7,CHKA;CHKB;PCYT1A;PEMT;GPCPD1;LPCAT1;SLC44A1,8,-0.39677973071819633,-0.36587280636192837,0.06674203858375907,0.078125,0.18354060610533746,0.21484375
T/NK,type_i_interferon_response,12,STAT1;STAT2;IRF7;ISG15;IFIT1;IFIT2;IFIT3;MX1;OAS1;OAS2;IFI6;IFI27,8,-0.2265381640942437,-0.18886665291533972,0.4503990622753573,0.25,0.6482302170430931,0.4230769230769231
T/NK,cell_cycle,7,MKI67;PCNA;TOP2A;CDK1;CCNB1;CCNB2;AURKB,8,1.259799894771529,1.2536488754559052,0.0015709925579898963,0.015625,0.017164672095522384,0.0859375
